worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
3,1,1780398870.702,2.83644,4.129686,0.004418,2.979,0.7313,2.1116,0.1362,0.044405,0,3
3,2,1780398875.467,2.157947,3.631602,0.064328,4.766,1.0365,3.6321,0.0967,0.031517,2,3
3,3,1780398880.567,1.777905,1.776821,0.626883,5.099,1.4634,3.557,0.0787,0.025401,1,3
3,4,1780398885.692,2.021305,3.651001,0.064328,5.125,1.5427,3.5111,0.0705,0.022676,3,3
3,5,1780398890.904,1.836624,3.004033,0.261597,5.212,1.6018,3.5404,0.0697,0.022314,3,3
3,6,1780398896.065,1.61781,1.504587,0.726488,5.161,1.5935,3.4976,0.0696,0.022164,3,3
3,7,1780398901.24,1.519288,0.885506,0.772676,5.175,1.5391,3.5577,0.078,0.025174,2,3
3,8,1780398906.413,1.483074,0.824324,0.785796,5.173,1.4778,3.6253,0.0694,0.022337,2,3
3,9,1780398911.509,1.447439,0.755565,0.795167,5.095,1.4994,3.5285,0.0668,0.021406,3,3
3,10,1780398916.642,1.42192,0.707442,0.804137,5.134,1.5682,3.4907,0.0745,0.024023,2,3
3,11,1780398921.843,1.399673,0.654126,0.809693,5.2,1.6217,3.5037,0.0746,0.024013,2,3
3,12,1780398927.049,1.38078,0.634004,0.814914,5.206,1.6334,3.5022,0.0705,0.022672,2,3
3,13,1780398932.226,1.360364,0.637186,0.81565,5.177,1.5811,3.529,0.0666,0.02132,4,3
3,14,1780398937.478,1.365375,0.631763,0.818462,5.251,1.5641,3.6129,0.0738,0.023688,4,3
3,15,1780398942.647,1.349506,0.580413,0.822746,5.169,1.5068,3.5946,0.0675,0.020646,1,3
3,16,1780398947.769,1.336856,0.591804,0.825423,5.122,1.445,3.6032,0.0736,0.023722,3,3
3,17,1780398952.887,1.322411,0.575959,0.828971,5.117,1.4732,3.573,0.0709,0.022795,4,3
3,18,1780398957.985,1.323614,0.588786,0.834996,5.098,1.5655,3.4651,0.0667,0.021423,2,3
3,19,1780398963.088,1.319599,0.564543,0.82703,5.103,1.6426,3.3872,0.0726,0.023389,4,3
3,20,1780398968.21,1.300807,0.568436,0.831649,5.122,1.7164,3.3399,0.0653,0.020967,3,3
3,21,1780398973.35,1.295777,0.54805,0.831046,5.14,1.737,3.3315,0.0717,0.023027,3,3
3,22,1780398978.58,1.289309,0.558867,0.827498,5.23,1.719,3.43,0.0808,0.026152,3,3
3,23,1780398983.785,1.284308,0.563381,0.830042,5.205,1.6727,3.4631,0.0688,0.02215,4,3
3,24,1780398989.034,1.28387,0.554726,0.83533,5.249,1.6152,3.5621,0.0712,0.022945,3,3
3,25,1780398994.285,1.272857,0.537713,0.833858,5.25,1.4566,3.7308,0.0627,0.020139,4,3
3,26,1780398999.511,1.277778,0.534935,0.831916,5.226,1.3086,3.847,0.07,0.022527,4,3
3,27,1780399004.614,1.277016,0.535971,0.837472,5.103,1.2287,3.8021,0.0721,0.022655,3,3
3,28,1780399009.692,1.270482,0.521397,0.840016,5.077,1.2931,3.706,0.0778,0.02513,2,3
3,29,1780399014.726,1.266833,0.54233,0.836,5.034,1.386,3.5774,0.0707,0.022719,4,3
3,30,1780399019.826,1.259241,0.527685,0.836803,5.1,1.585,3.4424,0.0717,0.022904,3,3
3,31,1780399024.88,1.252218,0.528975,0.844233,5.054,1.6972,3.28,0.0759,0.024326,2,3
3,32,1780399029.975,1.264915,0.522986,0.835397,5.095,1.7226,3.3062,0.0657,0.021078,3,3
3,33,1780399035.167,1.255987,0.519053,0.837874,5.191,1.7551,3.363,0.0731,0.023537,4,3
3,34,1780399040.337,1.247728,0.508922,0.840685,5.17,1.7152,3.3807,0.0734,0.023546,4,3
3,35,1780399045.624,1.24971,0.515883,0.838677,5.287,1.6397,3.5612,0.0849,0.027494,2,3
3,36,1780399050.861,1.244794,0.529532,0.838677,5.237,1.6358,3.5259,0.0739,0.023741,4,3
3,37,1780399056.049,1.249559,0.503206,0.844568,5.188,1.6073,3.5064,0.074,0.023873,3,3
3,38,1780399061.271,1.246208,0.513829,0.845036,5.221,1.6027,3.541,0.0773,0.024781,2,3
3,39,1780399066.47,1.23981,0.520094,0.839815,5.199,1.5805,3.5485,0.0694,0.022267,3,3
3,40,1780399071.638,1.246172,0.519264,0.838945,5.168,1.5307,3.5675,0.0697,0.022402,2,3
3,41,1780399076.855,1.239911,0.502663,0.842024,5.217,1.5106,3.6403,0.066,0.020524,4,3
3,42,1780399082.058,1.230991,0.50358,0.841623,5.203,1.4701,3.6665,0.066,0.021265,4,3
3,43,1780399087.273,1.227236,0.508284,0.843965,5.215,1.4915,3.6472,0.0756,0.024431,4,3
3,44,1780399092.474,1.233308,0.513159,0.839414,5.2,1.4323,3.6898,0.0774,0.025051,3,3
3,45,1780399097.682,1.229825,0.499348,0.846375,5.208,1.4814,3.6508,0.0754,0.024325,3,3
3,46,1780399102.812,1.241841,0.495236,0.847848,5.13,1.5209,3.5421,0.0669,0.021412,2,3
3,47,1780399107.986,1.21827,0.490065,0.847647,5.174,1.5996,3.4978,0.0764,0.024609,3,3
3,48,1780399113.161,1.228387,0.49109,0.848785,5.175,1.6555,3.4464,0.0727,0.023366,2,3
