round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.015308,0.024094,0.003045,0.058371,4.127175,5,1.4507,6.1716,0.1043
2,0.213688,0.35993,0.044403,0.857415,3.370029,5,1.7482,7.0527,0.0811
3,0.192959,0.322549,0.028685,0.769491,3.64,5,1.878,7.3281,0.0853
4,0.161682,0.151266,0.064328,0.427919,3.580166,5,1.8638,7.362,0.0788
5,0.426737,0.358768,0.07623,0.828158,2.517594,5,1.8441,7.4173,0.0789
6,0.811379,0.021615,0.790749,0.83868,1.066984,5,1.8391,7.4048,0.077
7,0.839623,0.023942,0.809961,0.862755,0.643191,5,1.863,7.3558,0.0795
8,0.85049,0.021521,0.824018,0.87242,0.532805,5,1.8862,7.3349,0.0826
9,0.856778,0.026376,0.826494,0.885482,0.505935,5,1.8973,7.335,0.0816
10,0.858453,0.021265,0.834862,0.879678,0.482993,5,1.9142,7.3312,0.0782
11,0.858384,0.022805,0.830377,0.882536,0.475306,5,1.9187,7.2785,0.0783
12,0.862931,0.022072,0.839146,0.885915,0.473304,5,1.9119,7.3282,0.0766
13,0.8644,0.024375,0.835531,0.887474,0.462502,5,1.916,7.3204,0.0782
14,0.864347,0.024087,0.836067,0.891199,0.456774,5,1.9404,7.3038,0.082
15,0.865681,0.024492,0.837405,0.892412,0.457589,5,1.9085,7.3309,0.0795
16,0.865559,0.023085,0.838075,0.890419,0.472205,5,1.8723,7.3641,0.0879
17,0.865922,0.024626,0.840233,0.892672,0.456591,5,1.8542,7.3801,0.0812
18,0.862132,0.019185,0.843162,0.888254,0.553163,5,1.8505,7.414,0.0786
19,0.867552,0.025116,0.840619,0.897523,0.445753,5,1.8073,7.453,0.0868
20,0.867839,0.024361,0.838945,0.894404,0.452755,5,1.804,7.4358,0.0803
21,0.867881,0.021491,0.846844,0.896223,0.458239,5,1.8056,7.4091,0.0848
22,0.868536,0.02278,0.845572,0.89631,0.443273,5,1.8199,7.4112,0.0783
23,0.869713,0.024728,0.84102,0.895617,0.443219,5,1.86,7.3477,0.0827
24,0.872986,0.022942,0.843162,0.898475,0.437258,5,1.8747,7.3815,0.0799
25,0.870104,0.024277,0.845742,0.898389,0.446396,5,1.8621,7.3884,0.0794
26,0.873172,0.022928,0.848383,0.901161,0.43551,5,1.8381,7.4318,0.0798
27,0.869743,0.024778,0.845438,0.902547,0.512145,5,1.8133,7.4148,0.0796
28,0.87286,0.023036,0.846643,0.898909,0.44351,5,1.8342,7.3948,0.0871
29,0.871027,0.02425,0.842493,0.895444,0.48648,5,1.8501,7.4033,0.0829
30,0.873595,0.021751,0.849053,0.896223,0.435465,5,1.8384,7.4064,0.0862
31,0.871796,0.023682,0.846375,0.898822,0.443072,5,1.8474,7.3659,0.0807
32,0.845314,0.082772,0.702031,0.905146,0.611194,5,1.8575,7.3303,0.079
33,0.872533,0.02246,0.847982,0.895097,0.445957,5,1.9041,7.3571,0.0779
34,0.873384,0.022891,0.845237,0.897696,0.440548,5,1.9132,7.3824,0.078
35,0.872849,0.023673,0.845532,0.900554,0.449218,5,1.8826,7.434,0.0782
36,0.873476,0.022571,0.849187,0.898389,0.435493,5,1.8518,7.2853,0.0772
37,0.87337,0.022825,0.847112,0.898129,0.440808,5,1.6565,6.3784,0.0691
38,0.874479,0.022901,0.848517,0.898909,0.437521,5,1.4767,5.7829,0.0623
39,0.874347,0.024418,0.844769,0.899342,0.431778,5,1.3381,5.449,0.0622
40,0.88115,0.021453,0.850779,0.900641,0.410898,4,1.2413,5.1731,0.0555
41,0.882062,0.019959,0.852983,0.896916,0.411271,4,1.2168,5.1395,0.0558
42,0.874794,0.022044,0.850045,0.89232,0.432423,3,1.2129,4.398,0.0479
43,0.874942,0.021356,0.850779,0.891291,0.422159,3,1.2003,4.4043,0.0474
44,0.876733,0.02024,0.853665,0.891519,0.420883,3,1.2054,4.4418,0.0466
45,0.878187,0.020715,0.854609,0.893464,0.432408,3,1.1946,4.4626,0.0474
46,0.875697,0.020393,0.852983,0.892434,0.42888,3,1.1993,4.4445,0.0465
47,0.876935,0.02124,0.85314,0.893978,0.429931,3,1.2068,4.4434,0.0482
48,0.875933,0.019126,0.855082,0.892663,0.430429,3,1.2208,4.1017,0.0405
49,0.890018,0.003256,0.887716,0.89232,0.40998,2,0.9531,3.7629,0.0375
50,0.888912,0.004819,0.885505,0.89232,0.392485,2,0.9909,3.3988,0.025
51,0.888907,0.006686,0.884179,0.893635,0.395985,2,0.8134,3.0655,0.0238
52,0.657803,0.31799,0.43295,0.882656,1.332583,2,0.8267,3.053,0.0238
53,0.892892,0.0,0.892892,0.892892,0.407847,1,0.7654,2.995,0.0285
54,0.892148,0.0,0.892148,0.892148,0.386978,1,0.7728,3.0364,0.0281
55,0.891748,0.0,0.891748,0.891748,0.373213,1,0.7553,2.3968,0.0023
56,0.89375,0.0,0.89375,0.89375,0.385388,1,0.3832,2.1027,0.0022
57,0.882427,0.0,0.882427,0.882427,0.402927,1,0.3792,2.0797,0.0022
58,0.516898,0.0,0.516898,0.516898,1.877111,1,0.3944,2.0964,0.0024
59,0.889575,0.0,0.889575,0.889575,0.388287,1,0.3935,2.0932,0.0024
60,0.887574,0.0,0.887574,0.887574,0.401503,1,0.3865,2.1335,0.0023
61,0.874593,0.0,0.874593,0.874593,0.556285,1,0.3894,2.047,0.0022
62,0.887974,0.0,0.887974,0.887974,0.403073,1,0.3975,2.1166,0.0021
63,0.884143,0.0,0.884143,0.884143,0.427281,1,0.3648,2.1332,0.0022
64,0.885343,0.0,0.885343,0.885343,0.400115,1,0.3776,2.0705,0.0022
