worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,global_test_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
2,1,1781977770.427,1.796289,4.127138,0.003014,0.002214,9.628,7.2324,2.3551,0.0323,0.032158,0,1
2,2,1781977779.841,1.526301,3.72214,0.080385,0.034136,9.414,7.1109,2.274,0.0203,0.020175,1,1
2,3,1781977789.099,1.44086,4.129401,0.080385,0.034136,9.258,7.1638,2.0725,0.0216,0.021464,1,1
2,4,1781977798.359,1.352739,2.549911,0.344809,0.3686,9.26,7.2922,1.9394,0.0209,0.020769,2,1
2,5,1781977807.763,1.300591,0.598778,0.85848,0.606096,9.403,7.4673,1.9092,0.0189,0.018841,0,1
2,6,1781977817.139,1.258511,0.5023,0.871754,0.633716,9.376,7.4604,1.8864,0.0209,0.020798,1,1
2,7,1781977826.521,1.245365,0.47504,0.87535,0.636573,9.382,7.4829,1.8745,0.017,0.016891,0,1
2,8,1781977835.887,1.217114,0.521662,0.838595,0.797583,9.366,7.5022,1.844,0.0193,0.019147,2,1
2,9,1781977845.316,1.227626,0.632772,0.791369,0.833463,9.429,7.5806,1.8293,0.0183,0.018223,1,1
2,10,1781977854.697,1.201383,0.662154,0.851235,0.805615,9.381,7.5622,1.7991,0.0198,0.019725,2,1
2,11,1781977864.103,1.186735,0.413628,0.88524,0.671762,9.406,7.59,1.7862,0.0192,0.019133,1,1
2,12,1781977873.52,1.154448,0.446238,0.885504,0.689301,9.416,7.6134,1.7852,0.0175,0.017367,1,1
2,13,1781977882.913,1.175359,0.575489,0.802158,0.831971,9.393,7.4756,1.8978,0.0198,0.019654,1,1
2,14,1781977892.306,1.172932,0.586512,0.845259,0.815562,9.393,7.3257,2.045,0.0218,0.021613,2,1
2,15,1781977901.529,1.166958,0.411499,0.885663,0.663526,9.223,7.3163,1.8779,0.0202,0.020082,0,1
2,16,1781977910.778,1.155864,0.392002,0.891586,0.679802,9.248,7.4457,1.7769,0.0179,0.01783,1,1
2,17,1781977920.169,1.138465,0.383939,0.891586,0.696053,9.391,7.5836,1.7813,0.0185,0.018324,1,1
2,18,1781977929.54,1.146218,0.472544,0.860172,0.810875,9.372,7.5838,1.7699,0.0175,0.017406,2,1
2,19,1781977938.923,1.140421,0.387092,0.894389,0.691036,9.383,7.5907,1.7735,0.0184,0.018256,1,1
2,20,1781977948.316,1.144802,0.378038,0.894653,0.688924,9.393,7.584,1.7802,0.0193,0.019165,1,1
2,21,1781977957.785,1.13454,0.383736,0.893225,0.687998,9.468,7.6612,1.7876,0.0193,0.019145,1,1
2,22,1781977967.228,1.131211,0.409089,0.895129,0.672068,9.443,7.6503,1.7743,0.0181,0.017962,0,1
2,23,1781977976.679,1.142345,0.456392,0.893067,0.676355,9.451,7.6555,1.7753,0.0197,0.019605,0,1
2,24,1781977986.085,1.124943,0.639535,0.84674,0.824905,9.406,7.6146,1.7731,0.0184,0.018259,1,1
2,25,1781977995.453,1.140185,0.543944,0.827066,0.843206,9.367,7.5032,1.8453,0.0187,0.018592,1,1
2,26,1781978004.844,1.13232,0.872366,0.876884,0.669917,9.391,7.392,1.9808,0.018,0.01792,0,1
2,27,1781978014.158,1.11641,0.371498,0.897245,0.692489,9.314,7.3228,1.9653,0.0174,0.017255,1,1
2,28,1781978021.747,1.116291,0.378883,0.89661,0.710224,7.589,6.2254,1.3462,0.0173,0.017169,1,1
2,29,1781978030.334,1.12431,0.876932,0.870855,0.628338,8.587,3.6116,1.0101,3.9648,1.980949,0,1
2,30,1781978037.104,1.116677,0.82405,0.837326,0.818302,6.769,5.4616,1.2906,0.017,0.016877,1,1
2,31,1781978043.842,1.122986,0.593962,0.828441,0.850468,6.739,5.4312,1.2896,0.0176,0.017461,1,1
2,32,1781978050.621,1.112303,0.534885,0.814586,0.859364,6.779,5.4787,1.2827,0.0171,0.01699,1,1
2,33,1781978059.226,1.119765,0.726724,0.852451,0.817902,8.605,3.6498,0.9846,3.9704,3.967753,1,0
2,34,1781978063.504,1.101368,0.428091,0.894812,0.680312,4.277,3.2338,1.043,0.0001,0.0,0,0
2,35,1781978067.657,1.10907,0.399369,0.897456,0.693941,4.154,3.0988,1.0545,0.0001,0.0,0,0
2,36,1781978071.785,1.110513,0.391302,0.898884,0.681756,4.127,3.0522,1.0746,0.0001,0.0,0,0
