round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.01464,0.018013,0.003014,0.035389,4.126057,3,0.013535,0.014607,7.2302,2.3593,0.0329
2,0.309084,0.445101,0.024826,0.82204,2.74879,3,0.288132,0.435657,7.3788,2.2272,0.0199
3,0.315496,0.443887,0.038617,0.827485,3.020731,3,0.246579,0.367961,7.4757,1.985,0.0211
4,0.616062,0.246571,0.344809,0.826613,1.61269,3,0.543787,0.220028,7.6393,1.8814,0.0199
5,0.740837,0.150231,0.57161,0.85848,1.137053,3,0.605863,0.145249,7.7166,1.8626,0.0198
6,0.84887,0.031733,0.812645,0.871754,0.671508,3,0.762167,0.111402,7.7221,1.8434,0.0198
7,0.857816,0.015193,0.84856,0.87535,0.565358,3,0.749532,0.098081,7.7293,1.8403,0.0183
8,0.850301,0.013601,0.838595,0.865221,0.534393,3,0.773381,0.04882,7.7381,1.8164,0.019
9,0.847391,0.04872,0.791369,0.879846,0.549383,3,0.797374,0.071,7.7877,1.8074,0.019
10,0.859585,0.010722,0.851235,0.871676,0.71223,3,0.764193,0.081732,7.7838,1.8428,0.0194
11,0.855624,0.025663,0.839954,0.88524,0.720937,3,0.773763,0.091617,7.7038,1.9086,0.0205
12,0.852889,0.031552,0.82252,0.885504,0.6378,3,0.78191,0.081965,7.6943,1.9222,0.0191
13,0.853716,0.044816,0.802158,0.883343,0.495164,3,0.795233,0.077951,7.6437,1.923,0.0198
14,0.823344,0.029009,0.790447,0.845259,0.727743,3,0.750759,0.064005,7.6448,1.9007,0.0212
15,0.887285,0.009135,0.879069,0.897122,0.4571,3,0.747255,0.106143,7.7066,1.8049,0.0201
16,0.872297,0.016711,0.862181,0.891586,0.444133,3,0.782871,0.089736,7.7546,1.7725,0.019
17,0.872727,0.019614,0.852437,0.891586,0.550863,3,0.77571,0.06899,7.7989,1.7828,0.0195
18,0.881244,0.019739,0.860172,0.899304,0.424188,3,0.80406,0.069427,7.7957,1.7666,0.0179
19,0.878005,0.019605,0.856284,0.894389,0.49395,3,0.798387,0.093145,7.8034,1.801,0.0186
20,0.891531,0.017347,0.872835,0.907105,0.398101,3,0.801268,0.100673,7.7836,1.8377,0.02
21,0.880336,0.032444,0.843429,0.904355,0.439938,3,0.810525,0.106111,7.8153,1.8584,0.0186
22,0.88918,0.009859,0.8778,0.895129,0.433118,3,0.789125,0.101988,7.7686,1.8498,0.0187
23,0.890913,0.016062,0.873883,0.90579,0.426288,3,0.79208,0.102108,7.7489,1.8556,0.0192
24,0.860112,0.023249,0.846639,0.886958,0.572135,3,0.778189,0.068316,7.7202,1.8396,0.0191
25,0.856022,0.029666,0.827066,0.886351,0.71228,3,0.785838,0.080141,7.714,1.8644,0.0188
26,0.846897,0.06389,0.77353,0.890277,0.992853,3,0.690913,0.152586,7.2126,1.6986,1.3363
27,0.870037,0.023893,0.852477,0.897245,0.589856,3,0.793616,0.090982,6.0604,1.6497,0.0188
28,0.882474,0.019991,0.868338,0.89661,0.466321,2,0.771655,0.086877,6.1282,1.3195,0.0176
29,0.886424,0.022019,0.870855,0.901994,0.643522,2,0.747753,0.168878,4.8177,1.1456,1.991
30,0.837326,0.0,0.837326,0.837326,0.82405,1,0.818302,0.0,5.4616,1.2906,0.017
31,0.828441,0.0,0.828441,0.828441,0.593962,1,0.850468,0.0,5.4312,1.2896,0.0176
32,0.814586,0.0,0.814586,0.814586,0.534885,1,0.859364,0.0,5.4787,1.2827,0.0171
33,0.852451,0.0,0.852451,0.852451,0.726724,1,0.817902,0.0,3.6498,0.9846,3.9704
34,0.894812,0.0,0.894812,0.894812,0.428091,1,0.680312,0.0,3.2338,1.043,0.0001
35,0.897456,0.0,0.897456,0.897456,0.399369,1,0.693941,0.0,3.0988,1.0545,0.0001
36,0.898884,0.0,0.898884,0.898884,0.391302,1,0.681756,0.0,3.0522,1.0746,0.0001
