worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,global_test_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
0,1,1781977769.626,1.998491,4.124196,0.035389,0.030023,9.76,7.3648,2.3533,0.0325,0.032415,0,1
0,2,1781977779.969,1.469078,0.722447,0.82204,0.791177,10.343,8.0812,2.2336,0.0196,0.019502,0,1
0,3,1781977790.12,1.507985,4.175317,0.038617,0.034136,10.15,8.2193,1.9119,0.019,0.018859,2,1
0,4,1781977800.284,1.361053,0.833272,0.826613,0.790737,10.164,8.3529,1.7914,0.0192,0.019047,0,1
0,5,1781977810.461,1.314228,0.716961,0.79242,0.750995,10.177,8.3604,1.7879,0.0215,0.021409,2,1
0,6,1781977820.614,1.270008,0.876201,0.862211,0.832364,10.153,8.3569,1.7772,0.0186,0.018441,0,1
0,7,1781977830.782,1.233097,0.574506,0.849538,0.813089,10.168,8.3541,1.7868,0.0195,0.019378,2,1
0,8,1781977840.958,1.248311,0.543991,0.847087,0.805372,10.177,8.3564,1.794,0.0185,0.018348,1,1
0,9,1781977851.121,1.226548,0.460486,0.879846,0.84308,10.162,8.3522,1.7823,0.0196,0.019451,1,1
0,10,1781977861.436,1.207583,0.993441,0.855845,0.816921,10.316,8.3592,1.9375,0.0185,0.018401,1,1
0,11,1781977871.698,1.180809,1.222032,0.841677,0.800465,10.262,8.2119,2.0301,0.0198,0.019725,1,1
0,12,1781977881.982,1.177842,0.494599,0.850644,0.811307,10.284,8.2725,1.9913,0.0194,0.019323,2,1
0,13,1781977892.3,1.177264,0.463562,0.883343,0.848027,10.318,8.2522,2.0444,0.0212,0.021062,1,1
0,14,1781977902.464,1.161372,0.569453,0.790447,0.749134,10.16,8.2281,1.9099,0.0217,0.021567,3,1
0,15,1781977912.587,1.163973,0.519598,0.897122,0.866634,10.123,8.3154,1.7864,0.0208,0.020649,0,1
0,16,1781977922.718,1.153291,0.463206,0.862181,0.825172,10.13,8.3189,1.7918,0.0194,0.019294,1,1
0,17,1781977932.886,1.155158,0.829001,0.852437,0.814707,10.168,8.3566,1.7923,0.0191,0.019001,1,1
0,18,1781977943.021,1.131452,0.381869,0.899304,0.869829,10.135,8.336,1.7723,0.018,0.017894,0,1
0,19,1781977953.242,1.134317,0.479495,0.883343,0.846339,10.22,8.3272,1.8742,0.0188,0.018651,1,1
0,20,1781977963.516,1.129975,0.377937,0.907105,0.883309,10.274,8.2767,1.9663,0.0228,0.022675,0,1
0,21,1781977973.826,1.118557,0.429575,0.904355,0.871792,10.309,8.3261,1.9648,0.0182,0.018059,1,1
0,22,1781977983.959,1.121677,0.454277,0.894611,0.858822,10.133,8.3233,1.7899,0.0199,0.019761,2,1
0,23,1781977994.214,1.111225,0.378162,0.90579,0.869484,10.255,8.3646,1.8704,0.0193,0.019188,1,1
0,24,1781978004.46,1.127947,0.644186,0.846639,0.809878,10.246,8.2445,1.9819,0.0192,0.019049,2,1
0,25,1781978014.65,1.105466,1.160942,0.854649,0.820038,10.19,8.1838,1.9867,0.0194,0.019273,1,1
0,26,1781978026.763,1.114019,0.408859,0.890277,0.85291,12.113,6.7821,1.3573,3.9731,1.985217,1,1
0,27,1781978031.343,1.10522,0.926389,0.860388,0.819527,4.58,3.3314,1.2296,0.0183,0.018149,1,1
0,28,1781978038.685,1.10961,0.553759,0.868338,0.833086,7.342,6.0311,1.2928,0.0179,0.017829,1,1
0,29,1781978046.008,1.101916,0.410112,0.901994,0.867168,7.323,6.0238,1.2812,0.0173,0.017223,1,1
