round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.031201,0.029078,0.01291,0.064731,4.127813,3,0.016953,0.008263,7.2244,0.5224,0.0307
2,0.442208,0.314556,0.080385,0.650668,2.304949,3,0.308888,0.26241,7.3497,0.3584,0.0235
3,0.284864,0.395908,0.038617,0.741552,2.975869,3,0.150193,0.201017,7.3492,0.3587,0.022
4,0.253558,0.325308,0.051469,0.62882,3.006203,3,0.154242,0.196731,7.3799,0.3577,0.0197
5,0.746141,0.031376,0.722112,0.781638,1.173876,3,0.620149,0.110289,7.3761,0.355,0.0204
6,0.749374,0.054821,0.706698,0.811201,0.958623,3,0.647887,0.095391,7.3792,0.3557,0.0207
7,0.778188,0.043262,0.739785,0.825057,0.810123,3,0.653218,0.102156,7.3996,0.3578,0.0199
8,0.777339,0.037743,0.749499,0.820297,0.839206,3,0.682788,0.109444,7.3795,0.351,0.0214
9,0.786101,0.031327,0.753081,0.815403,0.846842,3,0.687514,0.064789,7.3689,0.375,0.019
10,0.823705,0.037515,0.782136,0.855043,0.64702,3,0.730271,0.092831,7.3603,0.3717,0.0211
11,0.82217,0.021066,0.79798,0.836478,0.828196,3,0.666222,0.122685,7.3798,0.3609,0.0192
12,0.821751,0.015529,0.807245,0.838133,0.705813,3,0.757569,0.006605,7.3515,0.3621,0.0199
13,0.832834,0.021036,0.811652,0.85372,0.847459,3,0.673874,0.108328,7.3663,0.3564,0.018
14,0.844906,0.01729,0.825004,0.856229,0.613252,3,0.749084,0.081699,7.3953,0.3575,0.0187
15,0.836425,0.011041,0.82474,0.846684,0.696965,3,0.735021,0.083881,7.3852,0.359,0.0211
16,0.828272,0.030727,0.794243,0.853985,0.643366,3,0.724061,0.081781,7.3603,0.3603,0.0203
17,0.825934,0.031775,0.789888,0.849884,0.729786,3,0.753133,0.083979,7.3705,0.3735,0.019
18,0.848396,0.013413,0.840174,0.863874,0.565247,3,0.759856,0.086711,7.3722,0.3567,0.0199
19,0.834648,0.013738,0.82109,0.84856,0.716057,3,0.770864,0.048306,6.7907,0.3422,0.0215
20,0.801098,0.008215,0.795289,0.806907,0.99497,2,0.784013,0.044929,6.4369,0.3066,0.0185
21,0.820421,0.065144,0.774357,0.866485,0.830808,2,0.733723,0.130806,5.8759,0.2603,0.0207
22,0.839731,0.046966,0.806521,0.872941,0.86189,2,0.759058,0.110487,5.6086,0.2573,2.0037
