worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,global_test_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
0,1,1781978122.332,2.964075,4.131397,0.015961,0.017877,8.095,7.5355,0.5212,0.0304,0.03029,0,1
0,2,1781978130.684,2.01023,1.753496,0.59557,0.556909,8.352,7.9549,0.3688,0.0206,0.020461,0,1
0,3,1781978138.983,2.086491,4.042577,0.038617,0.034136,8.299,7.9098,0.3661,0.0227,0.022618,2,1
0,4,1781978147.293,1.753568,3.514724,0.051469,0.047311,8.31,7.9328,0.3577,0.0192,0.019093,1,1
0,5,1781978155.613,1.601858,1.326043,0.734674,0.688924,8.319,7.9406,0.3514,0.0191,0.019026,1,1
0,6,1781978163.941,1.5624,1.044168,0.706698,0.663236,8.328,7.9488,0.3532,0.0183,0.018236,1,1
0,7,1781978172.264,1.519625,0.896077,0.739785,0.693337,8.323,7.9304,0.3657,0.0193,0.019162,2,1
0,8,1781978180.599,1.467442,0.978223,0.749499,0.706825,8.335,7.9582,0.3563,0.02,0.019934,1,1
0,9,1781978188.96,1.447793,0.71815,0.78982,0.745185,8.361,7.9175,0.4164,0.0188,0.018741,2,1
0,10,1781978197.276,1.403346,0.64444,0.833936,0.791444,8.316,7.9313,0.3569,0.02,0.019913,1,1
0,11,1781978205.655,1.423896,0.721278,0.832053,0.798471,8.379,7.9925,0.3678,0.0179,0.017792,0,1
0,12,1781978213.967,1.382822,0.686032,0.807245,0.765064,8.312,7.9364,0.3578,0.0179,0.017786,2,1
0,13,1781978222.259,1.399149,0.856894,0.833129,0.798895,8.292,7.9157,0.3577,0.0179,0.017835,0,1
0,14,1781978230.592,1.345785,0.556127,0.853484,0.820053,8.333,7.947,0.3588,0.0183,0.018176,0,1
0,15,1781978238.921,1.350012,0.571667,0.837852,0.795723,8.329,7.9513,0.3589,0.0187,0.018574,2,1
0,16,1781978247.224,1.32726,0.632588,0.794243,0.755376,8.303,7.9198,0.3649,0.0182,0.018095,2,1
0,17,1781978255.587,1.304783,0.986851,0.838031,0.798384,8.363,7.9363,0.4083,0.0176,0.017515,1,1
0,18,1781978263.904,1.287595,0.550258,0.841139,0.803919,8.317,7.9345,0.356,0.0185,0.01842,1,1
0,19,1781978270.435,1.281636,0.780789,0.834295,0.795354,6.531,6.2547,0.2569,0.019,0.018919,1,1
0,20,1781978276.602,1.267916,1.17337,0.795289,0.752243,6.167,5.8849,0.2635,0.0179,0.017835,1,1
0,21,1781978282.795,1.291071,0.535005,0.866485,0.826216,6.192,5.9022,0.2623,0.0195,0.019383,1,1
0,22,1781978293.017,1.279208,0.713594,0.872941,0.837184,10.222,5.9748,0.2605,3.9868,1.992061,1,1
0,23,1781978300.937,1.234512,1.142444,0.833697,0.793454,7.92,3.74,0.2017,3.9778,3.975163,2,0
0,24,1781978304.656,1.270987,0.515218,0.869116,0.833502,3.719,3.508,0.203,0.0001,0.0,0,0
0,25,1781978308.368,1.27313,0.466669,0.883163,0.854731,3.713,3.5008,0.2048,0.0001,0.0,0,0
0,26,1781978312.208,1.275237,0.45829,0.877365,0.8433,3.84,3.6301,0.2023,0.0001,0.0,0,0
0,27,1781978315.858,1.286794,0.601734,0.857489,0.82832,3.65,3.4302,0.2191,0.0001,0.0,0,0
0,28,1781978319.438,1.255007,0.919308,0.867621,0.836996,3.58,3.3741,0.2057,0.0001,0.0,0,0
0,29,1781978323.084,1.234584,0.896638,0.846549,0.816057,3.646,3.4366,0.209,0.0001,0.0,0,0
0,30,1781978326.771,1.237844,0.429756,0.882327,0.8486,3.687,3.463,0.217,0.0001,0.0,0,0
0,31,1781978330.361,1.256984,0.835913,0.880175,0.848529,3.59,3.3835,0.2061,0.0001,0.0,0,0
0,32,1781978333.999,1.24101,0.945875,0.850525,0.819307,3.637,3.4364,0.2004,0.0001,0.0,0,0
0,33,1781978337.527,1.239355,0.421994,0.88941,0.855909,3.528,3.3159,0.205,0.0001,0.0,0,0
0,34,1781978341.012,1.248883,0.525166,0.883492,0.850225,3.485,3.2855,0.1997,0.0001,0.0,0,0
0,35,1781978344.533,1.235158,0.40705,0.894432,0.863956,3.521,3.3113,0.2027,0.0001,0.0,0,0
0,36,1781978348.066,1.208002,1.171833,0.833637,0.81718,3.533,3.3284,0.204,0.0001,0.0,0,0
0,37,1781978351.645,1.237888,0.415168,0.891084,0.861483,3.579,3.3685,0.2104,0.0001,0.0,0,0
0,38,1781978355.229,1.237175,1.175255,0.84915,0.820108,3.584,3.3781,0.2054,0.0001,0.0,0,0
0,39,1781978358.757,1.208543,2.018336,0.520907,0.518564,3.528,3.3284,0.1991,0.0001,0.0,0,0
0,40,1781978362.271,1.252682,0.432551,0.887348,0.853051,3.514,3.3112,0.2022,0.0001,0.0,0,0
0,41,1781978365.774,1.187489,0.744624,0.884748,0.854441,3.503,3.2991,0.2032,0.0001,0.0,0,0
0,42,1781978369.382,1.21523,0.450513,0.894133,0.871808,3.608,3.4014,0.2062,0.0001,0.0,0,0
0,43,1781978372.944,1.197364,0.415076,0.892997,0.861758,3.562,3.3603,0.201,0.0001,0.0,0,0
0,44,1781978376.483,1.204669,0.514212,0.891562,0.86325,3.539,3.3365,0.2023,0.0001,0.0,0,0
0,45,1781978380.034,1.201981,0.387655,0.900649,0.871941,3.551,3.3417,0.2024,0.0001,0.0,0,0
0,46,1781978383.636,1.218137,0.413612,0.898377,0.870771,3.602,3.3995,0.2021,0.0001,0.0,0,0
0,47,1781978387.224,1.180364,0.396793,0.897301,0.874155,3.589,3.3889,0.1994,0.0001,0.0,0,0
0,48,1781978390.791,1.23314,1.753697,0.703052,0.680037,3.567,3.3641,0.2027,0.0001,0.0,0,0
0,49,1781978394.313,1.193271,0.646141,0.887946,0.856404,3.522,3.3181,0.2032,0.0001,0.0,0,0
0,50,1781978397.816,1.176636,0.913465,0.875004,0.851034,3.502,3.2936,0.2085,0.0001,0.0,0,0
0,51,1781978401.323,1.204591,0.940016,0.880653,0.849534,3.507,3.3059,0.2006,0.0001,0.0,0,0
0,52,1781978404.843,1.175539,0.702878,0.896374,0.866186,3.52,3.3218,0.1981,0.0001,0.0,0,0
0,53,1781978408.413,1.197443,0.46951,0.893415,0.867623,3.57,3.3651,0.2048,0.0001,0.0,0,0
0,54,1781978411.929,1.202707,1.547456,0.741728,0.713687,3.516,3.3093,0.2062,0.0001,0.0,0,0
