worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,global_test_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
0,1,1781978461.276,1.739516,4.125522,0.015961,0.017877,6.612,3.6017,2.9688,0.0347,0.034586,0,1
0,2,1781978473.744,1.351068,0.568719,0.851421,0.814683,12.468,8.5923,3.846,0.0217,0.021618,0,1
0,3,1781978486.386,1.266815,0.451582,0.884269,0.853632,12.642,8.9928,3.6201,0.0214,0.021298,0,1
0,4,1781978498.936,1.280569,4.004802,0.045551,0.054989,12.55,8.9448,3.5859,0.0187,0.01858,1,1
0,5,1781978511.499,1.237873,0.926062,0.840033,0.802388,12.563,8.9884,3.5558,0.0185,0.018404,1,1
0,6,1781978524.021,1.202493,0.431477,0.896942,0.868542,12.522,8.9339,3.5589,0.0195,0.019375,0,1
0,7,1781978536.626,1.176356,0.430392,0.896345,0.862339,12.605,8.9128,3.664,0.0201,0.019932,1,1
0,8,1781978549.346,1.166834,0.382737,0.903369,0.87421,12.72,8.8594,3.8339,0.0195,0.019367,0,1
0,9,1781978562.151,1.149471,1.240053,0.840153,0.801697,12.805,8.6444,4.1407,0.0194,0.019272,1,1
0,10,1781978574.827,1.133611,1.523956,0.804944,0.766705,12.676,8.4242,4.2335,0.0178,0.017663,1,1
0,11,1781978587.436,1.136192,0.445564,0.883432,0.846731,12.609,8.4035,4.1857,0.0191,0.01901,2,1
0,12,1781978600.115,1.128579,0.436428,0.898825,0.862143,12.679,8.4683,4.1907,0.02,0.019892,1,1
0,13,1781978612.591,1.119747,0.775723,0.892997,0.85806,12.476,8.5168,3.9378,0.0212,0.021042,1,1
0,14,1781978625.107,1.113484,1.12401,0.878411,0.842036,12.515,8.6906,3.8054,0.0191,0.018914,0,1
0,15,1781978637.609,1.100683,0.342879,0.914308,0.884738,12.503,8.7914,3.6823,0.019,0.018923,0,1
0,16,1781978650.119,1.102649,0.424021,0.887378,0.85112,12.51,8.9105,3.5783,0.0206,0.020494,1,1
0,17,1781978662.629,1.095882,0.865773,0.878052,0.843363,12.509,8.9221,3.5678,0.0191,0.019021,1,1
0,18,1781978675.251,1.090627,0.348737,0.912604,0.882477,12.623,8.8972,3.704,0.021,0.020828,1,1
0,19,1781978687.955,1.09125,0.424166,0.876558,0.841479,12.704,8.8169,3.8686,0.0181,0.018008,1,1
0,20,1781978700.598,1.08937,0.444267,0.86804,0.83373,12.643,8.5976,4.0251,0.0196,0.01949,2,1
0,21,1781978713.113,1.082613,0.410113,0.905999,0.874948,12.515,8.506,3.9907,0.0178,0.017681,1,1
0,22,1781978725.796,1.08501,0.437327,0.859402,0.824889,12.683,8.7119,3.9512,0.0196,0.019523,2,1
0,23,1781978738.42,1.080729,0.41325,0.895328,0.860007,12.624,8.6841,3.9226,0.0169,0.016831,1,1
0,24,1781978751.01,1.078779,0.455114,0.855038,0.820454,12.589,8.6456,3.9237,0.0193,0.019216,2,1
