worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,global_test_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
1,1,1781979048.65,1.701962,4.12085,0.006124,0.002536,11.916,8.1621,3.6963,0.05,0.02492,0,2
1,2,1781979060.206,1.461434,4.09628,0.074423,0.034136,11.556,8.0179,3.4877,0.0423,0.021074,2,2
1,3,1781979071.798,1.346717,3.775708,0.074423,0.034136,11.592,8.0393,3.5031,0.0413,0.020604,2,2
1,4,1781979083.37,1.293227,0.589232,0.84045,0.787291,11.572,8.0342,3.4874,0.0396,0.019757,2,2
1,5,1781979094.943,1.255755,0.486132,0.863952,0.75949,11.573,7.8604,3.6626,0.0397,0.019783,2,2
1,6,1781979106.505,1.22812,0.474778,0.861139,0.81842,11.562,7.6899,3.8221,0.0423,0.021099,2,2
1,7,1781979118.061,1.209109,0.466442,0.858215,0.828846,11.555,7.5364,3.9725,0.0385,0.019183,2,2
1,8,1781979129.492,1.198149,0.441022,0.869249,0.82021,11.431,7.462,3.9245,0.0372,0.018531,2,2
1,9,1781979140.823,1.179511,0.939828,0.881165,0.692057,11.331,7.5486,3.7436,0.0383,0.019071,1,2
1,10,1781979152.195,1.1841,1.177381,0.865276,0.759569,11.371,7.7429,3.5904,0.0378,0.018826,2,2
1,11,1781979163.65,1.16833,0.418756,0.880062,0.811354,11.455,7.9078,3.5002,0.0387,0.019278,2,2
1,12,1781979175.167,1.161797,0.450878,0.879069,0.821027,11.517,7.9941,3.485,0.0377,0.018802,2,2
1,13,1781979186.757,1.159483,0.416334,0.879731,0.824458,11.589,8.0308,3.5093,0.0412,0.020555,2,2
1,14,1781979198.368,1.152679,0.408091,0.879841,0.817431,11.611,8.0569,3.5048,0.0413,0.020577,2,2
1,15,1781979209.963,1.15159,0.428113,0.882213,0.815303,11.595,8.0523,3.5043,0.0377,0.018806,2,2
1,16,1781979221.556,1.140422,0.412221,0.88431,0.826829,11.593,8.0391,3.5162,0.0373,0.018585,2,2
1,17,1781979233.157,1.144024,0.40894,0.877634,0.833879,11.601,7.8856,3.6772,0.0377,0.018808,2,2
1,18,1781979244.718,1.130847,1.906947,0.762551,0.65869,11.561,7.6868,3.8386,0.0357,0.017762,2,2
1,19,1781979256.276,1.134822,0.450516,0.883813,0.836038,11.558,7.5226,3.9967,0.0384,0.019157,2,2
1,20,1781979267.694,1.133364,0.394927,0.883317,0.835253,11.418,7.4466,3.9264,0.0366,0.018218,2,2
1,21,1781979279.086,1.121618,0.712227,0.886517,0.692756,11.392,7.5456,3.8065,0.0399,0.019897,1,2
1,22,1781979290.434,1.129265,0.418523,0.888944,0.7999,11.347,7.6259,3.6831,0.0379,0.018898,2,2
1,23,1781979301.933,1.125863,0.405385,0.88282,0.836038,11.5,7.8193,3.6434,0.0367,0.01827,2,2
1,24,1781979313.477,1.119144,0.475968,0.891206,0.782313,11.544,7.8349,3.6696,0.0391,0.0195,2,2
1,25,1781979325.032,1.110317,0.407478,0.886406,0.836242,11.554,7.8068,3.7103,0.0371,0.01851,2,2
1,26,1781979336.612,1.117918,0.500232,0.889661,0.804335,11.58,7.818,3.7214,0.0403,0.020086,2,2
1,27,1781979348.177,1.114133,0.400388,0.884531,0.822149,11.565,7.786,3.7416,0.0367,0.018312,2,2
1,28,1781979359.774,1.103995,0.565835,0.890047,0.804021,11.597,7.6984,3.8597,0.0385,0.019202,2,2
1,29,1781979371.394,1.11807,0.410898,0.891703,0.821459,11.62,7.5067,4.0766,0.036,0.017925,2,2
