round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.008705,0.005403,0.005077,0.014915,4.130114,3,0.006849,0.00773,6.6427,4.0589,0.0569
2,0.321811,0.458868,0.039723,0.851288,2.895318,3,0.216773,0.315596,8.0439,3.7841,0.0421
3,0.064475,0.022591,0.038617,0.080385,4.033566,3,0.034136,0.0,8.1454,3.6992,0.0406
4,0.828244,0.02276,0.801985,0.842297,0.718101,3,0.752212,0.039098,8.2451,3.5916,0.0387
5,0.832813,0.027664,0.811071,0.863952,0.549676,3,0.773117,0.014047,8.2441,3.6308,0.0383
6,0.857843,0.009544,0.847087,0.865302,0.48616,3,0.798329,0.026397,8.1934,3.7471,0.041
7,0.857626,0.011766,0.845576,0.869086,0.479722,3,0.824714,0.008008,8.0811,3.8466,0.0389
8,0.854209,0.018411,0.833677,0.869249,0.470474,3,0.820529,0.000701,8.0299,3.8142,0.039
9,0.850059,0.031544,0.818095,0.881165,0.878507,3,0.764232,0.065601,8.1129,3.6977,0.0382
10,0.841989,0.020301,0.828018,0.865276,1.304702,3,0.763209,0.025161,8.2259,3.6,0.0391
11,0.867778,0.011107,0.858445,0.880062,0.4396,3,0.814092,0.00678,8.3024,3.5765,0.0385
12,0.86905,0.011141,0.857052,0.879069,0.454865,3,0.827093,0.006488,8.2591,3.6393,0.0375
13,0.856808,0.021671,0.836656,0.879731,0.465258,3,0.817999,0.016602,8.1794,3.7375,0.0393
14,0.870175,0.008582,0.863451,0.879841,0.432091,3,0.820328,0.009821,8.1331,3.827,0.0387
15,0.865647,0.014351,0.856999,0.882213,0.44686,3,0.821262,0.006135,8.0676,3.8439,0.0394
16,0.854945,0.034132,0.817497,0.88431,0.460325,3,0.809734,0.027066,8.0811,3.8384,0.0378
17,0.834076,0.094642,0.725498,0.899096,0.915417,3,0.739766,0.081779,8.0405,3.8521,0.0394
18,0.825548,0.055176,0.762551,0.86529,0.93588,3,0.773834,0.099726,8.0118,3.8533,0.0381
19,0.874267,0.008652,0.866942,0.883813,0.641112,3,0.820734,0.026386,8.0053,3.8481,0.0384
20,0.852929,0.035741,0.813552,0.883317,0.498309,3,0.813728,0.035183,8.0733,3.7733,0.0385
21,0.872799,0.012297,0.862764,0.886517,0.526514,3,0.784559,0.079551,8.2329,3.6806,0.0388
22,0.86946,0.019847,0.849269,0.888944,0.449312,3,0.808989,0.008006,8.2421,3.6431,0.0391
23,0.868046,0.012799,0.860331,0.88282,0.437935,3,0.830532,0.005453,8.2443,3.6249,0.0375
24,0.875127,0.017656,0.856233,0.891206,0.470941,3,0.798389,0.020425,8.2431,3.6827,0.0395
25,0.868728,0.017553,0.851302,0.886406,0.439004,3,0.825094,0.010504,8.1893,3.7475,0.0388
26,0.864854,0.024636,0.840392,0.889661,0.523736,3,0.812076,0.014183,8.1227,3.8561,0.0387
27,0.872467,0.010757,0.863874,0.884531,0.427409,3,0.82529,0.006715,7.9682,4.0145,0.0379
28,0.875404,0.015713,0.858804,0.890047,0.569052,3,0.808023,0.013771,7.8251,3.7453,1.3575
29,0.87927,0.017584,0.866836,0.891703,0.427901,2,0.826876,0.007661,7.4495,4.2104,0.0382
30,0.882966,0.0,0.882966,0.882966,0.455746,1,0.801533,0.0,7.2864,3.4797,3.9846
31,0.900259,0.0,0.900259,0.900259,0.393912,1,0.712274,0.0,5.0433,2.3327,3.9773
32,0.875403,0.0,0.875403,0.875403,0.688174,1,0.778772,0.0,3.0767,2.0534,0.0001
33,0.898831,0.0,0.898831,0.898831,0.402891,1,0.687637,0.0,3.0725,2.0563,0.0001
34,0.898567,0.0,0.898567,0.898567,0.408317,1,0.694766,0.0,3.1065,2.0089,0.0001
35,0.902586,0.0,0.902586,0.902586,0.378452,1,0.691931,0.0,3.0567,2.0138,0.0001
36,0.899572,0.0,0.899572,0.899572,0.461333,1,0.684096,0.0,3.0279,2.013,0.0001
37,0.900788,0.0,0.900788,0.900788,0.397924,1,0.685831,0.0,3.0152,2.0145,0.0001
38,0.90174,0.0,0.90174,0.90174,0.372544,1,0.688179,0.0,3.0254,1.9666,0.0001
39,0.902798,0.0,0.902798,0.902798,0.391917,1,0.678011,0.0,3.0573,2.015,0.0001
40,0.901158,0.0,0.901158,0.901158,0.372992,1,0.689451,0.0,3.0187,1.9623,0.0001
41,0.832725,0.0,0.832725,0.832725,1.021933,1,0.594162,0.0,2.9926,1.9644,0.0001
42,0.902057,0.0,0.902057,0.902057,0.422219,1,0.681505,0.0,3.0696,2.0209,0.0001
43,0.760061,0.0,0.760061,0.760061,1.287748,1,0.534753,0.0,3.0701,1.9732,0.0001
44,0.903538,0.0,0.903538,0.903538,0.369842,1,0.686993,0.0,2.9826,1.9693,0.0001
45,0.900947,0.0,0.900947,0.900947,0.428722,1,0.689992,0.0,3.0196,2.0145,0.0001
46,0.902639,0.0,0.902639,0.902639,0.367648,1,0.681529,0.0,3.0041,1.9612,0.0001
47,0.902427,0.0,0.902427,0.902427,0.412869,1,0.681992,0.0,3.0008,2.007,0.0001
48,0.901,0.0,0.901,0.901,0.37955,1,0.687378,0.0,3.0013,1.964,0.0001
49,0.905548,0.0,0.905548,0.905548,0.371109,1,0.680508,0.0,3.0546,2.0132,0.0001
50,0.906552,0.0,0.906552,0.906552,0.376998,1,0.684928,0.0,3.0935,2.0029,0.0001
51,0.902586,0.0,0.902586,0.902586,0.376493,1,0.682424,0.0,3.0672,1.9636,0.0001
52,0.904014,0.0,0.904014,0.904014,0.397789,1,0.685698,0.0,3.0122,1.9621,0.0001
53,0.905283,0.0,0.905283,0.905283,0.372773,1,0.686671,0.0,2.9908,1.9504,0.0001
54,0.870326,0.0,0.870326,0.870326,0.782529,1,0.625645,0.0,2.9932,1.9652,0.0001
55,0.903644,0.0,0.903644,0.903644,0.373486,1,0.681921,0.0,2.9913,1.9505,0.0001
