worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,global_test_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
0,1,1781979042.248,1.734153,4.131164,0.014915,0.015773,10.431,6.1187,4.2437,0.0599,0.029901,0,2
0,2,1781979054.756,1.386085,3.962784,0.039723,0.034992,12.508,8.52,3.9406,0.0391,0.01951,1,2
0,3,1781979067.298,1.384488,4.256249,0.038617,0.034136,12.542,8.6786,3.8211,0.0421,0.021001,2,2
0,4,1781979079.852,1.274917,0.686729,0.801985,0.759286,12.553,8.8321,3.6752,0.0383,0.019116,2,2
0,5,1781979092.443,1.227275,0.589233,0.811071,0.772311,12.591,8.8613,3.6831,0.0377,0.018795,2,2
0,6,1781979105.09,1.202479,0.511744,0.847087,0.808135,12.648,8.7435,3.8551,0.0413,0.020578,2,2
0,7,1781979117.709,1.182758,0.459435,0.869086,0.829812,12.618,8.5431,4.0258,0.0409,0.020383,2,2
0,8,1781979130.191,1.17233,0.468191,0.859701,0.821333,12.482,8.465,3.9761,0.0407,0.020281,2,2
0,9,1781979142.644,1.157402,1.226926,0.818095,0.780405,12.453,8.6065,3.8079,0.0385,0.019166,3,2
0,10,1781979155.146,1.135538,1.291475,0.828018,0.789991,12.502,8.7876,3.6739,0.0403,0.020117,2,2
0,11,1781979167.734,1.132896,0.447603,0.858445,0.821812,12.588,8.8733,3.6711,0.0355,0.017681,2,2
0,12,1781979180.331,1.122206,0.449442,0.871028,0.833934,12.596,8.7827,3.775,0.0385,0.019172,2,2
0,13,1781979192.916,1.121461,0.516904,0.836656,0.799138,12.585,8.6326,3.9145,0.038,0.018905,2,2
0,14,1781979205.635,1.119409,0.43913,0.867233,0.831272,12.718,8.6118,4.061,0.0371,0.018503,2,2
0,15,1781979218.134,1.110775,0.460113,0.857728,0.820925,12.5,8.4829,3.9734,0.043,0.021456,2,2
0,16,1781979230.798,1.112595,0.510781,0.817497,0.778529,12.663,8.608,4.0171,0.0378,0.018831,3,2
0,17,1781979243.45,1.104394,1.878926,0.725498,0.686012,12.652,8.5608,4.0502,0.0409,0.020393,2,2
0,18,1781979256.023,1.095154,0.442731,0.86529,0.83015,12.573,8.4973,4.0355,0.0398,0.019869,2,2
0,19,1781979268.51,1.08604,0.418056,0.872045,0.835897,12.487,8.4615,3.9797,0.0382,0.019025,2,2
0,20,1781979280.992,1.086639,0.640398,0.813552,0.773127,12.481,8.6205,3.8218,0.0387,0.019315,3,2
0,21,1781979293.629,1.082274,0.419676,0.869116,0.833204,12.637,8.9899,3.6088,0.0377,0.018815,2,2
0,22,1781979306.146,1.08093,0.47038,0.849269,0.814997,12.517,8.9067,3.5686,0.0416,0.020741,2,2
0,23,1781979318.662,1.087637,0.454008,0.860986,0.825133,12.516,8.9139,3.5646,0.0371,0.018468,2,2
0,24,1781979331.261,1.071789,0.467106,0.856233,0.821372,12.599,8.9091,3.6533,0.0364,0.018149,2,2
0,25,1781979343.924,1.074931,0.450515,0.851302,0.815382,12.663,8.8375,3.7855,0.0397,0.019794,2,2
0,26,1781979356.671,1.073644,0.612064,0.840392,0.803448,12.747,8.6961,4.0125,0.038,0.01896,2,2
0,27,1781979369.466,1.079348,0.437473,0.868996,0.833,12.794,8.4389,4.3162,0.0388,0.019359,2,2
0,28,1781979384.915,1.071458,0.455891,0.858804,0.823351,15.449,8.2373,3.2154,3.9961,1.996698,2,1
