round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.031731,0.036124,0.003595,0.072743,4.127651,5,0.015046,0.014398,10.4265,6.5324,0.0319
2,0.693654,0.343675,0.079103,0.860177,1.357432,5,0.558158,0.312375,12.6151,6.3928,0.0224
3,0.529186,0.433108,0.031816,0.876703,2.044351,5,0.402026,0.343478,12.5375,6.5139,0.0232
4,0.367476,0.446886,0.014691,0.876195,2.720311,5,0.258698,0.305351,12.4369,6.6419,0.0202
5,0.494399,0.395621,0.047607,0.868191,2.279208,5,0.44148,0.361027,12.3046,6.8246,0.0207
6,0.653747,0.183876,0.380864,0.850799,2.039509,5,0.587261,0.137614,12.1458,6.9671,0.0202
7,0.836695,0.037508,0.80706,0.884446,0.785218,5,0.723515,0.078223,12.0215,7.0406,0.0215
8,0.871592,0.030003,0.823805,0.906397,0.581363,5,0.772144,0.101921,11.965,7.0943,0.0196
9,0.874097,0.009191,0.866726,0.890032,0.512884,5,0.749247,0.085865,11.9447,7.0774,0.0198
10,0.869648,0.026904,0.839027,0.897873,0.840558,5,0.727841,0.102085,12.0236,6.8978,0.0198
11,0.856252,0.025396,0.819179,0.882478,0.726412,5,0.753109,0.079351,12.2626,6.6431,0.0196
12,0.898052,0.013149,0.880198,0.915324,0.473446,5,0.751296,0.116863,12.4774,6.4318,0.0207
13,0.858892,0.038932,0.805945,0.900796,0.813205,5,0.731177,0.054848,12.6661,6.2561,0.0199
14,0.792066,0.07141,0.676219,0.854683,1.118561,5,0.709623,0.093154,12.8278,6.1231,0.0202
15,0.876445,0.037517,0.835625,0.916439,0.564337,5,0.767594,0.091832,12.9372,6.0096,0.0197
16,0.872159,0.014561,0.849027,0.885524,0.562806,5,0.775082,0.08487,13.0508,5.9429,0.0197
17,0.870791,0.0348,0.830771,0.908035,0.531401,5,0.766614,0.114055,13.0745,5.9204,0.0194
18,0.883607,0.026478,0.841743,0.911333,0.444501,5,0.770226,0.076508,13.1136,5.9042,0.0192
19,0.859053,0.057912,0.783558,0.920841,0.588211,5,0.776729,0.083774,13.0895,5.9255,0.0197
20,0.874993,0.021015,0.844728,0.900354,0.534833,5,0.769656,0.065422,13.1056,5.9119,0.0195
21,0.77646,0.176745,0.466231,0.904636,0.807076,5,0.670374,0.223236,13.1235,5.9067,0.0196
22,0.88871,0.020989,0.857873,0.910612,0.540731,5,0.752705,0.08529,13.1091,5.8938,0.0205
23,0.837867,0.105558,0.662256,0.916501,0.761418,5,0.701563,0.146964,13.1173,5.9301,0.0192
24,0.84439,0.058333,0.742437,0.888143,0.707258,5,0.769399,0.091897,13.0261,6.0336,0.0187
25,0.814437,0.162563,0.536972,0.928155,0.89362,5,0.683625,0.134023,12.9592,6.1122,0.0208
26,0.857697,0.057743,0.758709,0.900796,0.553074,5,0.744033,0.062528,12.8827,6.1683,0.0196
27,0.893098,0.019494,0.865795,0.915653,0.39244,5,0.77455,0.091173,12.8548,6.1685,0.0203
28,0.891883,0.026138,0.864513,0.926791,0.397479,5,0.790083,0.093345,12.8951,6.1309,0.0201
29,0.90245,0.01553,0.890478,0.927907,0.39561,5,0.785066,0.094425,12.9451,6.0541,0.0186
30,0.9038,0.016949,0.883729,0.928031,0.411009,5,0.777008,0.098436,13.0118,5.9781,0.0196
31,0.876971,0.052217,0.793219,0.927411,0.439735,5,0.768034,0.08629,13.0523,5.9758,0.0216
32,0.905925,0.015397,0.890174,0.930759,0.405808,5,0.769883,0.103666,13.051,5.9874,0.021
33,0.848371,0.082927,0.703982,0.900743,0.734337,5,0.739339,0.16578,13.0407,5.961,0.0206
34,0.871963,0.053696,0.808871,0.921708,0.447769,5,0.78902,0.075544,13.037,5.9765,0.0201
35,0.880014,0.047782,0.803762,0.930139,0.416914,5,0.794678,0.085053,13.0667,5.9675,0.0197
36,0.866183,0.053924,0.786325,0.909469,0.677414,5,0.72242,0.053,13.0728,5.9616,0.0218
37,0.898659,0.02453,0.871104,0.927039,0.411848,4,0.792309,0.08345,12.912,5.9039,0.0185
38,0.875647,0.037235,0.834242,0.908673,0.448129,4,0.754448,0.050449,12.8496,5.5703,0.0188
39,0.898943,0.007923,0.893659,0.908053,0.410413,3,0.733032,0.065893,11.8841,5.1372,1.336
