worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,global_test_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
3,1,1781979725.01,1.671953,4.127557,0.005474,0.004648,19.176,12.2592,6.8746,0.0341,0.033969,0,1
3,2,1781979743.828,1.476179,4.017616,0.079103,0.034136,18.817,12.1645,6.6231,0.0203,0.020187,3,1
3,3,1781979762.656,1.31229,0.594407,0.84612,0.586539,18.828,12.1861,6.6137,0.0198,0.019702,0,1
3,4,1781979781.431,1.252352,0.809765,0.835879,0.563174,18.775,12.123,6.6318,0.0199,0.019781,0,1
3,5,1781979800.295,1.233107,0.480129,0.868191,0.638842,18.864,12.0931,6.7437,0.0188,0.018703,0,1
3,6,1781979819.179,1.237498,1.566725,0.850799,0.589522,18.884,12.0104,6.8542,0.0195,0.019377,1,1
3,7,1781979838.079,1.204775,0.683887,0.87031,0.64448,18.899,11.8851,6.992,0.0216,0.021478,0,1
3,8,1781979856.936,1.19423,0.499813,0.87852,0.660127,18.857,11.7589,7.0793,0.0188,0.018676,1,1
3,9,1781979875.762,1.189557,0.75906,0.87234,0.658258,18.826,11.6055,7.2012,0.0191,0.019004,1,1
3,10,1781979894.594,1.177152,0.466596,0.874194,0.737625,18.832,11.5448,7.2553,0.0194,0.019333,3,1
3,11,1781979913.275,1.187803,0.517252,0.842765,0.798274,18.681,11.6704,6.9899,0.0203,0.020177,1,1
3,12,1781979931.965,1.17622,0.436111,0.880198,0.663777,18.69,11.8697,6.7904,0.021,0.020842,0,1
3,13,1781979950.608,1.157175,0.485531,0.866425,0.773724,18.643,12.0152,6.6069,0.0204,0.020325,2,1
3,14,1781979969.361,1.167387,0.564561,0.854683,0.795464,18.752,12.2472,6.487,0.0178,0.017708,1,1
3,15,1781979988.093,1.161491,0.792037,0.83738,0.817941,18.732,12.3988,6.3137,0.019,0.018853,3,1
3,16,1781980006.881,1.157171,0.500692,0.868809,0.788971,18.788,12.5297,6.2385,0.0199,0.019789,1,1
3,17,1781980025.636,1.15056,0.939616,0.87031,0.648334,18.754,12.5292,6.205,0.0195,0.019361,0,1
3,18,1781980044.429,1.148088,0.437429,0.888055,0.672759,18.793,12.6228,6.1504,0.0193,0.019235,0,1
3,19,1781980063.216,1.138727,0.559736,0.813984,0.843716,18.787,12.6729,6.0928,0.0211,0.021009,1,1
3,20,1781980082.001,1.142203,0.519911,0.888143,0.676638,18.785,12.7245,6.041,0.0195,0.019442,0,1
3,21,1781980100.784,1.129993,2.076301,0.466231,0.282639,18.783,12.7905,5.9725,0.0195,0.019422,0,1
3,22,1781980119.585,1.126617,0.419843,0.890615,0.716702,18.8,12.8105,5.9627,0.0189,0.018727,3,1
3,23,1781980138.459,1.122692,0.416174,0.893087,0.684646,18.874,12.9015,5.946,0.0189,0.018752,1,1
3,24,1781980157.315,1.119915,0.591886,0.888143,0.679236,18.855,12.7336,6.1036,0.0179,0.0178,0,1
3,25,1781980176.166,1.12137,1.340653,0.801448,0.633103,18.85,12.6826,6.1491,0.0184,0.018332,2,1
3,26,1781980195.016,1.117234,0.687019,0.856184,0.797764,18.851,12.5626,6.2674,0.0205,0.020329,3,1
3,27,1781980213.864,1.119765,0.432692,0.89194,0.677807,18.847,12.4497,6.3771,0.0203,0.020152,0,1
3,28,1781980232.711,1.120828,0.411595,0.89503,0.685753,18.847,12.406,6.4119,0.0217,0.021607,1,1
3,29,1781980251.482,1.105915,0.409192,0.896707,0.694954,18.771,12.4838,6.2601,0.0184,0.018313,2,1
3,30,1781980270.261,1.105703,0.516151,0.883729,0.728086,18.779,12.5861,6.1719,0.0206,0.020474,2,1
3,31,1781980289.032,1.114686,0.452677,0.893617,0.680775,18.771,12.6828,6.0682,0.0197,0.019575,0,1
3,32,1781980307.812,1.106448,0.55323,0.890174,0.680618,18.779,12.8566,5.9018,0.0208,0.020735,0,1
3,33,1781980326.555,1.104979,1.552085,0.703982,0.477126,18.743,12.9463,5.7772,0.019,0.018857,0,1
3,34,1781980345.392,1.111978,0.565456,0.818575,0.844078,18.837,13.0532,5.7628,0.0205,0.020361,1,1
3,35,1781980364.248,1.096073,0.410059,0.894676,0.69526,18.856,13.0431,5.793,0.0195,0.019377,1,1
3,36,1781980383.134,1.10473,0.407581,0.89141,0.680163,18.886,13.0708,5.7892,0.0183,0.018189,0,1
3,37,1781980402.04,1.108355,0.5769,0.871104,0.772735,18.906,13.0369,5.8514,0.0172,0.017122,1,1
3,38,1781980420.925,1.110409,0.501031,0.854154,0.819496,18.885,12.9876,5.878,0.0191,0.018948,1,1
3,39,1781980440.946,1.096873,0.415974,0.895118,0.69161,20.021,11.1781,4.8719,3.9706,1.984137,1,1
3,40,1781980449.598,1.094203,0.417081,0.895383,0.687543,8.652,5.5342,3.0979,0.0191,0.018969,1,1
3,41,1781980461.014,1.092662,0.403542,0.893705,0.695504,11.416,7.5082,3.8809,0.0187,0.018586,1,1
3,42,1781980472.438,1.091335,0.41494,0.896266,0.695998,11.424,7.498,3.9067,0.0188,0.018718,1,1
3,43,1781980483.798,1.101611,0.425123,0.895118,0.68693,11.36,7.4588,3.8803,0.0204,0.020261,0,1
3,44,1781980495.179,1.078642,0.404818,0.896972,0.693926,11.381,7.4234,3.9391,0.018,0.017865,1,1
3,45,1781980506.562,1.09497,0.406136,0.895383,0.684489,11.383,7.3933,3.9705,0.0192,0.019114,0,1
3,46,1781980517.935,1.092338,0.410935,0.895471,0.688414,11.372,7.3644,3.9875,0.0203,0.020212,0,1
3,47,1781980529.354,1.078103,0.401474,0.894941,0.688924,11.419,7.355,4.0381,0.018,0.017867,1,1
3,48,1781980540.731,1.081176,0.415923,0.896354,0.68799,11.377,7.322,4.0361,0.0185,0.01835,1,1
3,49,1781980552.125,1.088867,0.409433,0.894235,0.683162,11.393,7.2742,4.1027,0.0163,0.016187,0,1
3,50,1781980562.625,1.075291,0.3998,0.89706,0.688124,10.5,7.2572,3.2168,0.0187,0.018614,1,1
3,51,1781980570.759,1.071178,0.404176,0.898031,0.689199,8.135,5.2626,2.8543,0.0173,0.017237,1,1
3,52,1781980578.842,1.080135,0.401598,0.896795,0.689011,8.083,5.2629,2.8017,0.0177,0.017588,1,1
3,53,1781980589.328,1.075096,0.392137,0.899267,0.689199,10.486,4.4828,2.0315,3.9649,3.962188,1,0
3,54,1781980594.241,1.071237,0.438406,0.892293,0.684222,4.912,2.9238,1.9883,0.0001,0.0,0,0
3,55,1781980599.2,1.086484,0.396988,0.896177,0.676779,4.959,2.9375,2.0208,0.0001,0.0,0,0
3,56,1781980604.157,1.077785,0.38895,0.896266,0.683217,4.957,2.9317,2.018,0.0001,0.0,0,0
3,57,1781980609.059,1.070996,1.207288,0.713252,0.47393,4.902,2.9164,1.9852,0.0001,0.0,0,0
3,58,1781980613.929,1.079187,0.404205,0.896619,0.682911,4.87,2.88,1.9899,0.0001,0.0,0,0
3,59,1781980618.808,1.07276,0.402902,0.896001,0.681654,4.879,2.8619,2.0172,0.0001,0.0,0,0
3,60,1781980623.692,1.065266,0.416933,0.896442,0.681521,4.883,2.8963,1.9869,0.0001,0.0,0,0
3,61,1781980628.614,1.072491,0.424075,0.893352,0.680838,4.922,2.9083,2.0136,0.0001,0.0,0,0
3,62,1781980633.518,1.072487,3.164353,0.245608,0.165375,4.903,2.8748,2.0283,0.0001,0.0,0,0
3,63,1781980638.401,1.059216,0.403102,0.895736,0.67838,4.883,2.8803,2.0026,0.0001,0.0,0,0
3,64,1781980643.284,1.071074,0.39216,0.895206,0.675947,4.883,2.8696,2.0132,0.0001,0.0,0,0
3,65,1781980648.168,1.070429,0.407085,0.896707,0.676551,4.884,2.8711,2.0123,0.0001,0.0,0,0
