worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,global_test_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
5,1,1781981636.277,1.679703,4.130199,0.006378,0.002646,29.492,16.9073,12.5287,0.046,0.045823,0,1
5,2,1781981666.653,1.347102,0.588747,0.846372,0.570122,30.376,18.2883,12.0425,0.0361,0.036003,0,1
5,3,1781981696.936,1.459128,3.961579,0.080215,0.034136,30.283,18.2878,11.9748,0.0198,0.019628,3,1
5,4,1781981727.319,1.359489,4.068552,0.080215,0.034136,30.383,18.3938,11.9704,0.0187,0.018619,1,1
5,5,1781981757.533,1.267396,0.658843,0.848639,0.571975,30.214,18.5149,11.6784,0.0207,0.020518,0,1
5,6,1781981787.994,1.240431,0.497572,0.871032,0.645021,30.461,18.7936,11.6292,0.03,0.029909,0,1
5,7,1781981818.404,1.315458,3.981949,0.080215,0.034136,30.409,18.9838,11.4004,0.0247,0.024541,1,1
5,8,1781981848.981,1.310909,4.25463,0.005527,0.027746,30.577,19.2249,11.3286,0.0235,0.02334,1,1
5,9,1781981879.458,1.247513,0.674843,0.854025,0.728698,30.477,19.2421,11.218,0.0161,0.015992,3,1
5,10,1781981909.812,1.246778,2.153143,0.756378,0.773928,30.354,19.3336,11.0031,0.0175,0.017324,2,1
5,11,1781981940.301,1.208113,0.571634,0.849065,0.773928,30.488,19.5978,10.872,0.018,0.017883,2,1
5,12,1781981971.0,1.206887,0.56235,0.830641,0.797128,30.699,19.6817,11.0001,0.0166,0.016466,1,1
5,13,1781982001.577,1.186389,0.686815,0.877976,0.661391,30.578,19.7821,10.776,0.0193,0.019187,2,1
5,14,1781982027.999,1.194366,0.674762,0.844955,0.767365,26.421,17.1697,9.2319,0.0193,0.01918,1,1
5,15,1781982053.994,1.18026,0.618233,0.869473,0.649591,25.996,16.696,9.2738,0.0254,0.025325,0,1
5,16,1781982079.453,1.151442,0.454072,0.883078,0.669674,25.458,15.6755,9.7548,0.0203,0.020171,1,1
5,17,1781982106.029,1.159851,0.770539,0.869756,0.63688,26.576,16.7246,9.8289,0.0219,0.021769,0,1
5,18,1781982136.525,1.136137,0.692197,0.881236,0.663573,30.497,16.6933,9.814,3.989,1.993242,0,1
5,19,1781982163.076,1.136629,1.150915,0.831349,0.607454,26.551,17.6999,8.8319,0.0189,0.018721,2,1
5,20,1781982189.725,1.132597,0.420324,0.891156,0.678781,26.648,17.6526,8.9675,0.0184,0.018324,1,1
5,21,1781982216.396,1.134454,0.426845,0.889031,0.663856,26.671,17.6177,9.0324,0.0204,0.020256,0,1
5,22,1781982242.975,1.120844,0.411611,0.887755,0.667138,26.579,17.4917,9.0601,0.0188,0.018633,0,1
5,23,1781982266.437,1.131182,0.471847,0.877834,0.756758,23.462,15.7999,7.6357,0.0262,0.026111,2,1
5,24,1781982288.217,1.126988,0.454481,0.874575,0.76658,21.779,14.7329,7.027,0.0192,0.019121,2,1
5,25,1781982310.755,1.13176,0.420988,0.89144,0.682761,22.538,14.2868,8.232,0.0193,0.019196,0,1
5,26,1781982333.147,1.109045,0.951795,0.840278,0.62778,22.391,14.1398,8.2326,0.0187,0.018557,0,1
5,27,1781982354.479,1.124653,0.460684,0.876417,0.762764,21.332,13.3681,7.9437,0.0201,0.020005,2,1
5,28,1781982376.848,1.118703,0.401189,0.891298,0.683492,22.369,14.4195,7.9155,0.0256,0.025438,1,1
5,29,1781982399.293,1.109746,0.434178,0.89144,0.680312,22.445,14.4407,7.984,0.0199,0.019789,0,1
5,30,1781982420.572,1.119378,0.609281,0.785573,0.869806,21.279,13.7418,7.5178,0.0194,0.019333,3,1
5,31,1781982443.068,1.112991,2.594182,0.43835,0.27595,22.496,14.8622,7.6137,0.0198,0.019627,0,1
5,32,1781982465.567,1.110684,0.459537,0.880102,0.767789,22.499,14.8859,7.5885,0.0239,0.023784,2,1
5,33,1781982487.251,1.100905,0.412793,0.894983,0.689097,21.684,14.4537,7.2082,0.0222,0.022046,1,1
5,34,1781982509.706,1.100426,0.474845,0.889598,0.692026,22.454,14.8644,7.5657,0.024,0.023839,1,1
5,35,1781982532.139,1.114164,0.52063,0.843396,0.832913,22.433,14.9014,7.5141,0.0175,0.017382,1,1
5,36,1781982554.611,1.105529,0.434683,0.890164,0.698377,22.471,15.014,7.4377,0.0192,0.019128,0,1
5,37,1781982577.088,1.099073,0.467757,0.887755,0.671935,22.477,15.1236,7.3332,0.0199,0.019825,0,1
