worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,global_test_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
6,1,1781982856.997,1.619159,4.137777,0.003502,0.002222,29.371,16.8743,12.2929,0.1949,0.027809,0,7
6,2,1781982887.489,1.46645,3.905582,0.009525,0.049454,30.492,18.3172,12.0134,0.1524,0.021752,5,7
6,3,1781982917.857,1.307178,4.008396,0.078302,0.034136,30.368,18.3878,11.8107,0.1689,0.02411,7,7
6,4,1781982948.28,1.286663,2.038238,0.695335,0.435531,30.423,18.4596,11.7894,0.1646,0.023494,6,7
6,5,1781982978.947,1.227416,0.530837,0.856563,0.744596,30.667,18.8089,11.6855,0.1636,0.023352,7,7
6,6,1781983009.446,1.20752,0.502725,0.855162,0.776001,30.499,19.0206,11.3098,0.1612,0.02301,7,7
6,7,1781983039.872,1.191567,0.485498,0.852921,0.790847,30.426,19.2806,10.9813,0.1553,0.022162,7,7
6,8,1781983070.217,1.171883,0.453789,0.859924,0.780821,30.344,19.3301,10.8522,0.1524,0.021752,7,7
6,9,1781983100.779,1.166401,0.459307,0.859504,0.784394,30.563,19.4202,10.9885,0.1535,0.021907,7,7
6,10,1781983131.281,1.151799,0.491872,0.861605,0.785116,30.502,19.7011,10.6418,0.1586,0.022636,7,7
6,11,1781983161.931,1.147815,0.456742,0.855162,0.789049,30.65,19.9096,10.5908,0.1489,0.021255,7,7
6,12,1781983192.781,1.139049,0.47412,0.8518,0.810098,30.849,20.0782,10.6247,0.146,0.020839,7,7
6,13,1781983223.297,1.136042,0.478818,0.854461,0.803071,30.516,20.1214,10.235,0.1592,0.022723,7,7
6,14,1781983253.851,1.120995,0.449545,0.857123,0.811048,30.554,20.1648,10.2256,0.1549,0.02211,7,7
6,15,1781983284.561,1.126161,0.480156,0.85096,0.811974,30.71,20.2206,10.3298,0.1591,0.022697,7,7
6,16,1781983315.265,1.115012,0.456072,0.859784,0.800716,30.704,20.2659,10.2615,0.1762,0.025152,7,7
6,17,1781983346.061,1.118346,0.453682,0.858664,0.800284,30.797,20.2248,10.4062,0.1654,0.023612,7,7
6,18,1781983376.92,1.115831,0.456969,0.8525,0.802852,30.858,20.206,10.484,0.1681,0.023991,7,7
6,19,1781983407.785,1.11409,0.4544,0.859924,0.816771,30.864,20.4012,10.3152,0.1475,0.021001,7,7
6,20,1781983438.764,1.1121,0.474867,0.861465,0.808332,30.979,20.6037,10.204,0.1708,0.024374,7,7
6,21,1781983469.642,1.103682,0.477822,0.85166,0.813922,30.878,20.6529,10.0451,0.18,0.02569,7,7
6,22,1781983500.389,1.100474,0.45839,0.858944,0.816049,30.747,20.6182,9.9676,0.1605,0.022904,7,7
6,23,1781983531.144,1.10653,0.473183,0.860205,0.814683,30.756,20.6745,9.9236,0.1571,0.022423,7,7
