round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.013193,0.016892,0.002433,0.048146,4.128315,8,0.022933,0.020436,17.2491,11.9409,0.1863
2,0.116516,0.293522,0.006063,0.842789,3.518161,8,0.146865,0.273427,18.8923,11.5376,0.1588
3,0.146274,0.219235,0.036037,0.687236,3.685067,8,0.109554,0.213033,19.0408,11.346,0.156
4,0.674064,0.058507,0.589981,0.756001,1.874678,8,0.511967,0.120024,19.2901,11.2623,0.1557
5,0.840782,0.033539,0.777688,0.889757,0.565349,8,0.750556,0.011664,19.5808,11.1059,0.1547
6,0.846296,0.026873,0.806899,0.896139,0.518267,8,0.781878,0.005954,19.7498,10.8386,0.1627
7,0.851838,0.027546,0.806239,0.902042,0.480194,8,0.786832,0.00957,19.9858,10.6189,0.1574
8,0.851127,0.029891,0.805945,0.905552,0.46963,8,0.789579,0.011111,20.1655,10.4091,0.1562
9,0.85343,0.030896,0.801615,0.90986,0.462567,8,0.787494,0.005169,20.2283,10.4425,0.1624
10,0.857383,0.029405,0.806092,0.910498,0.554401,8,0.790372,0.005315,20.3618,10.2528,0.1618
11,0.855403,0.029607,0.807046,0.91321,0.450643,8,0.791411,0.004548,20.3793,10.3961,0.1585
12,0.862875,0.024097,0.837138,0.914646,0.448744,8,0.809381,0.008731,20.4062,10.3579,0.1552
13,0.855216,0.029231,0.814092,0.914486,0.464968,8,0.806157,0.011126,20.4088,10.2134,0.1575
14,0.865734,0.025169,0.826789,0.91672,0.437539,8,0.803142,0.012446,20.3658,10.2211,0.1574
15,0.857706,0.028455,0.825113,0.917039,0.45508,8,0.814584,0.025387,20.3319,10.4304,0.1678
16,0.859445,0.028329,0.819303,0.917996,0.442382,8,0.804446,0.004495,20.2663,10.4943,0.1591
17,0.86153,0.028583,0.82055,0.919272,0.437516,8,0.796695,0.00835,20.145,10.7168,0.1585
18,0.85582,0.028585,0.828624,0.920389,0.442612,8,0.804592,0.010939,20.0074,10.6465,0.1578
19,0.864158,0.026422,0.829798,0.918634,0.437793,8,0.807751,0.018574,19.9853,10.7159,0.1578
20,0.867313,0.028325,0.831046,0.921187,0.458879,8,0.797547,0.020231,19.9976,10.7179,0.1576
21,0.858906,0.027151,0.825248,0.918156,0.460401,8,0.815565,0.011004,19.9243,10.8008,0.1592
22,0.859547,0.030862,0.813358,0.919113,0.446058,8,0.814203,0.008817,19.8263,10.8833,0.1582
23,0.868198,0.025022,0.837945,0.922144,0.443125,8,0.815345,0.003922,19.7912,10.7506,0.6532
