worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,global_test_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
0,1,1781982854.892,1.764799,4.122837,0.030752,0.029112,28.157,15.8175,12.1045,0.2272,0.032437,0,7
0,2,1781982886.604,1.375938,0.606506,0.842789,0.823547,31.712,19.5757,11.9614,0.1674,0.023897,0,7
0,3,1781982918.052,1.454075,4.068422,0.036037,0.034136,31.448,19.5188,11.769,0.1595,0.022765,9,7
0,4,1781982949.699,1.33178,1.876135,0.593615,0.573914,31.647,19.8444,11.6369,0.1656,0.023634,10,7
0,5,1781982981.307,1.276385,0.674613,0.777688,0.759639,31.608,20.2416,11.2058,0.1602,0.02286,7,7
0,6,1781983012.843,1.239678,0.594226,0.806899,0.788146,31.535,20.5518,10.8228,0.1525,0.021763,7,7
0,7,1781983044.49,1.225625,0.56795,0.806239,0.787401,31.647,21.0697,10.3855,0.1819,0.025827,7,7
0,8,1781983076.071,1.202887,0.565601,0.805945,0.785791,31.58,21.3142,10.093,0.1628,0.023238,7,7
0,9,1781983107.874,1.191464,0.550876,0.801615,0.781465,31.803,21.6348,9.9952,0.1633,0.023301,7,7
0,10,1781983139.546,1.170112,0.634547,0.806092,0.789089,31.672,21.8403,9.6706,0.1603,0.022873,7,7
0,11,1781983171.208,1.167555,0.541291,0.807046,0.786749,31.662,21.7558,9.7432,0.1554,0.022184,7,7
0,12,1781983203.007,1.160994,0.499228,0.837138,0.816238,31.798,21.796,9.835,0.1599,0.022824,7,7
0,13,1781983234.666,1.150353,0.575039,0.814092,0.795275,31.66,21.8043,9.6932,0.162,0.023121,7,7
0,14,1781983266.13,1.145195,0.513523,0.826789,0.80735,31.464,21.8709,9.4317,0.161,0.02297,7,7
0,15,1781983297.911,1.12979,0.462598,0.868404,0.846127,31.781,21.8091,9.8037,0.1596,0.022706,8,7
0,16,1781983329.918,1.129254,0.513783,0.819303,0.801014,32.007,21.7749,10.0835,0.148,0.021115,7,7
0,17,1781983361.748,1.129231,0.515825,0.82055,0.79862,31.83,21.5306,10.1444,0.1545,0.022038,7,7
0,18,1781983393.461,1.126517,0.503281,0.828624,0.808418,31.713,21.3889,10.1795,0.1445,0.020628,7,7
0,19,1781983425.335,1.119281,0.518688,0.829798,0.810985,31.873,21.2908,10.4263,0.1557,0.022216,7,7
0,20,1781983457.31,1.11792,0.513437,0.831046,0.813356,31.975,21.0533,10.7755,0.1462,0.020865,7,7
0,21,1781983489.085,1.105335,0.531741,0.825248,0.807319,31.775,20.6234,10.9932,0.1577,0.022499,7,7
0,22,1781983520.768,1.108022,0.527375,0.813358,0.794906,31.683,20.3958,11.134,0.1529,0.021812,8,7
0,23,1781983552.356,1.106913,0.501484,0.837945,0.819182,31.588,20.3141,11.1101,0.1635,0.022927,7,6
0,24,1781983574.728,1.103923,0.508382,0.830606,0.810844,22.372,14.5081,7.7517,0.1115,0.01856,8,6
0,25,1781983600.381,1.099242,0.402393,0.890642,0.868267,25.653,16.4532,9.055,0.137,0.02281,5,6
0,26,1781983628.029,1.097406,0.485485,0.844257,0.825824,27.648,18.3282,9.1905,0.1286,0.021398,4,6
0,27,1781983655.748,1.094731,0.590997,0.838826,0.821223,27.719,18.124,9.468,0.1267,0.021087,6,6
