round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.021792,0.028552,0.004855,0.054757,4.125418,3,0.02068,0.031542,184.4005,51.9353,0.1746
2,0.570781,0.42713,0.077635,0.824103,1.683581,3,0.470984,0.390907,126.4013,53.3817,0.1055
3,0.057096,0.041956,0.008827,0.084825,3.736265,3,0.054282,0.022942,126.5803,51.5184,0.1522
4,0.511779,0.42936,0.024091,0.832892,2.104258,3,0.459162,0.380987,125.0038,51.2554,0.2089
5,0.353976,0.437221,0.077678,0.858057,2.703375,3,0.256668,0.313056,127.0515,52.0373,0.0981
6,0.81356,0.030161,0.77885,0.833389,0.93188,3,0.706032,0.074758,125.5768,53.3522,0.1257
7,0.81792,0.041484,0.770533,0.847677,1.18232,3,0.725364,0.084739,125.2348,52.0911,0.1337
8,0.863166,0.02305,0.836643,0.878351,0.677651,3,0.728711,0.103996,124.7296,52.0067,0.1915
9,0.83346,0.019982,0.813739,0.853693,0.691487,3,0.806057,0.018511,123.9865,51.7175,0.089
10,0.872122,0.01116,0.863952,0.884837,0.532854,3,0.741553,0.098252,124.0463,52.2831,0.2345
11,0.852549,0.026571,0.825374,0.878471,0.580813,3,0.809703,0.026683,122.1572,50.483,0.0629
12,0.880723,0.015245,0.863401,0.8921,0.446751,3,0.74791,0.096944,120.9375,50.9068,0.087
13,0.88274,0.01854,0.862463,0.898825,0.447247,3,0.790881,0.090521,121.6272,50.716,0.1226
14,0.84072,0.043335,0.791165,0.871511,0.768429,3,0.760197,0.034691,121.5949,49.4763,0.0873
15,0.878332,0.018897,0.860754,0.898317,0.506301,3,0.785891,0.088684,125.6624,47.9497,0.1151
16,0.868042,0.013646,0.852293,0.876349,0.756431,3,0.775713,0.088716,124.4783,50.1988,0.1275
17,0.865696,0.009897,0.858745,0.877027,0.510745,3,0.769926,0.073125,122.0228,51.2243,0.1171
18,0.871837,0.021535,0.848163,0.890264,0.458017,3,0.733553,0.067356,122.5494,48.168,0.1446
19,0.850745,0.026445,0.821251,0.872344,0.939123,3,0.758514,0.14359,123.2293,49.8167,0.2496
