worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,global_test_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
2,1,1783073857.397,1.830274,4.127651,0.005764,0.00241,227.43,175.3003,51.9368,0.1603,0.159969,0,1
2,2,1783074040.942,1.521087,3.645965,0.077635,0.034144,183.542,127.0909,56.2496,0.1745,0.174176,1,1
2,3,1783074219.325,1.514604,3.870188,0.077635,0.034144,178.383,126.0516,52.2728,0.0578,0.057387,2,1
2,4,1783074397.864,1.389415,1.740904,0.678354,0.736596,178.539,125.9243,52.5296,0.0653,0.064911,1,1
2,5,1783074573.114,1.323618,0.623411,0.858057,0.614928,175.25,122.1864,52.9729,0.0703,0.06988,0,1
2,6,1783074750.37,1.288345,0.662199,0.828441,0.74579,177.256,123.8371,53.1947,0.2236,0.22318,2,1
2,7,1783074928.765,1.267025,1.48992,0.770533,0.746983,178.395,123.5628,54.7484,0.0833,0.082934,2,1
2,8,1783075104.372,1.244577,0.496691,0.874504,0.639879,175.607,122.1414,53.223,0.223,0.22256,0,1
2,9,1783075279.769,1.235483,0.578506,0.813739,0.819158,175.396,122.831,52.5024,0.0625,0.062094,1,1
2,10,1783075454.251,1.213397,0.660699,0.867576,0.665528,174.481,122.9149,51.4629,0.103,0.102662,1,1
2,11,1783075627.217,1.196702,0.559135,0.825374,0.804673,172.966,120.9834,51.9224,0.06,0.059622,1,1
2,12,1783075797.132,1.197082,0.41097,0.886668,0.681301,169.915,118.5751,51.2502,0.0617,0.061355,1,1
2,13,1783075968.546,1.176229,0.403072,0.886932,0.691036,171.414,118.036,53.2978,0.0604,0.060066,1,1
2,14,1783076136.011,1.182669,0.480148,0.859485,0.793085,167.465,117.6852,49.7149,0.0642,0.063805,2,1
2,15,1783076302.931,1.162334,0.475479,0.860754,0.804037,166.92,123.6349,43.2197,0.0651,0.064708,2,1
2,16,1783076479.683,1.170552,0.493655,0.852293,0.812948,176.751,123.4624,53.079,0.209,0.20861,2,1
2,17,1783076651.296,1.164658,0.494183,0.858745,0.800323,171.612,118.7225,52.6754,0.2139,0.21357,2,1
2,18,1783076820.466,1.142854,0.400909,0.890264,0.702789,169.17,119.6,49.3241,0.2269,0.22101,1,1
2,19,1783076990.419,1.151192,1.153859,0.858639,0.592898,169.953,120.1951,49.3295,0.4282,0.42785,0,1
2,20,1783077158.79,1.150948,0.403213,0.890423,0.667342,168.37,118.4369,49.8813,0.0517,0.051351,0,1
2,21,1783077332.736,1.136104,0.599995,0.850389,0.826216,173.946,120.7806,53.0736,0.0915,0.091146,2,1
2,22,1783077508.133,1.14349,1.623699,0.819187,0.754983,175.396,122.2673,52.9648,0.164,0.163602,1,1
2,23,1783077680.855,1.150824,1.139608,0.846898,0.615211,172.722,120.5629,52.0873,0.0716,0.071202,0,1
2,24,1783077853.265,1.122868,0.454377,0.860172,0.817525,172.409,119.5738,52.7872,0.0478,0.047354,2,1
2,25,1783078027.23,1.138206,0.417921,0.891798,0.674981,173.964,122.3852,51.5302,0.0485,0.048076,0,1
2,26,1783078194.744,1.134695,0.395632,0.895076,0.675248,167.514,117.1768,50.2541,0.0463,0.020127,0,0
2,27,1783078370.137,1.138014,0.842833,0.867576,0.629688,175.393,124.0117,51.3803,0.0004,0.0,0,0
2,28,1783078542.342,1.133735,0.396597,0.89312,0.669548,172.205,119.9231,52.2808,0.0003,0.0,0,0
2,29,1783078713.374,1.119175,0.388998,0.892326,0.67071,171.032,119.7162,51.297,0.0004,0.0,0,0
2,30,1783078889.584,1.120746,0.987445,0.879528,0.656727,176.21,123.3562,52.8529,0.0004,0.0,0,0
2,31,1783079064.353,1.119486,1.18371,0.857317,0.659208,174.767,122.9483,51.8183,0.0003,0.0,0,0
2,32,1783079234.326,1.110167,0.507861,0.890528,0.668229,169.973,118.7428,51.2296,0.0003,0.0,0,0
2,33,1783079399.706,1.114189,0.384232,0.896134,0.670953,165.38,115.8622,49.4988,0.0004,0.0,0,0
2,34,1783079571.621,1.109447,0.43446,0.897985,0.680665,171.914,119.3918,52.5216,0.0004,0.0,0,0
2,35,1783079744.836,1.121967,1.794071,0.690095,0.482119,173.216,120.5935,52.6213,0.0003,0.0,0,0
2,36,1783079915.981,1.10149,0.75149,0.888149,0.674227,171.144,119.9903,51.1376,0.0003,0.0,0,0
2,37,1783080090.483,1.097996,0.389453,0.898461,0.674384,174.497,122.2814,52.2152,0.0004,0.0,0,0
2,38,1783080259.619,1.091098,0.412745,0.899519,0.6767,169.136,118.7429,50.3926,0.0003,0.0,0,0
2,39,1783080432.496,1.104636,0.832665,0.829552,0.624522,172.877,120.8377,52.0387,0.0004,0.0,0,0
2,40,1783080604.139,1.103675,0.6339,0.89111,0.654325,171.642,119.5839,52.0528,0.0052,0.0,0,0
2,41,1783080774.66,1.098704,0.384877,0.899889,0.675248,170.52,119.5233,50.9954,0.0003,0.0,0,0
2,42,1783080951.672,1.090471,1.005536,0.848009,0.608977,177.011,122.7624,54.2484,0.0003,0.0,0,0
