round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.016386,0.015077,0.005659,0.033625,4.124345,3,0.027691,0.023828,165.2255,45.2318,0.1649
2,0.554333,0.446646,0.038617,0.816648,1.815954,3,0.386744,0.30886,115.5126,45.1814,0.1761
3,0.305495,0.465475,0.019515,0.842602,2.801733,3,0.255668,0.337168,117.799,46.3576,0.2442
4,0.045865,0.031528,0.018592,0.080385,4.119354,3,0.027533,0.011436,118.294,43.3267,0.24
5,0.412081,0.377576,0.057327,0.808948,2.18547,3,0.353414,0.301736,116.5866,44.0281,0.0882
6,0.787656,0.114342,0.656195,0.864005,1.001518,3,0.738884,0.091819,118.2116,45.5938,0.1196
7,0.833197,0.005175,0.827982,0.838331,0.724018,3,0.724139,0.102069,113.4553,44.7587,0.1175
8,0.850271,0.025809,0.820486,0.866043,0.533251,3,0.701696,0.082821,113.4583,44.7339,0.1258
9,0.861493,0.025454,0.842297,0.890367,0.546481,3,0.766257,0.110646,114.1673,43.3847,0.0964
10,0.874717,0.017643,0.864394,0.895089,0.5911,3,0.759707,0.122999,116.0543,45.3962,0.2543
11,0.86842,0.013433,0.855098,0.881961,0.664872,3,0.758428,0.084245,117.725,47.2182,0.1352
12,0.844613,0.020394,0.821693,0.860754,0.979949,3,0.770489,0.123265,114.9861,48.4076,0.2621
13,0.830467,0.052571,0.799235,0.891163,0.687465,3,0.761563,0.081896,115.5727,44.4972,0.0965
14,0.870924,0.03472,0.831458,0.896763,0.537901,3,0.795275,0.117413,113.0322,42.8309,0.1254
15,0.865169,0.024464,0.841388,0.890264,0.512156,3,0.788112,0.095715,114.748,44.9013,0.0626
16,0.871923,0.016104,0.856174,0.88836,0.444652,3,0.772704,0.081933,117.0382,47.1904,0.1477
17,0.875637,0.024294,0.847677,0.891586,0.564645,3,0.795715,0.098483,114.9847,46.8853,0.1869
18,0.892774,0.014811,0.879345,0.908659,0.439536,3,0.773151,0.09813,114.4861,45.8129,0.0589
19,0.864095,0.027903,0.832249,0.884255,0.453271,3,0.786027,0.081334,113.9863,45.0016,0.0961
20,0.875653,0.032548,0.840499,0.904743,0.548199,3,0.796285,0.096239,116.3465,43.2645,0.2298
21,0.881487,0.030309,0.849701,0.910064,0.42358,3,0.802126,0.092112,118.5162,51.5246,0.114
22,0.880679,0.027721,0.849332,0.901964,0.688981,3,0.750249,0.104533,117.7752,47.1221,0.0916
23,0.880841,0.025068,0.853297,0.902322,0.542632,3,0.790093,0.090164,119.8896,47.7466,0.1037
24,0.867492,0.011489,0.858745,0.880503,0.518958,3,0.783313,0.073488,116.7829,44.3768,0.1267
25,0.872356,0.034601,0.841663,0.909854,0.834834,3,0.801286,0.091671,116.0695,44.528,0.1193
26,0.862811,0.038205,0.818816,0.88762,0.641452,3,0.801656,0.080542,125.8667,46.6973,0.2155
27,0.872977,0.048264,0.83885,0.907105,0.435238,2,0.875215,0.001133,116.0696,43.9674,0.1611
28,0.878488,0.04326,0.847898,0.909077,0.548809,2,0.871148,0.007606,122.5298,47.3351,0.1092
29,0.878869,0.043566,0.848064,0.909675,0.432096,2,0.876723,0.001288,119.6594,46.7111,0.088
30,0.891478,0.03292,0.8682,0.914756,0.685772,2,0.814507,0.101954,120.085,46.2015,0.1361
31,0.888365,0.035462,0.86329,0.913441,0.41561,2,0.873139,0.013007,116.813,50.5943,0.1163
32,0.883225,0.043407,0.852532,0.913919,0.40095,2,0.879077,0.010337,117.9046,50.9138,0.0787
33,0.918492,0.0,0.918492,0.918492,0.350871,1,0.891993,0.0,127.5469,51.239,0.0003
34,0.912843,0.0,0.912843,0.912843,0.387289,1,0.888946,0.0,128.2996,51.3595,0.0003
35,0.916012,0.0,0.916012,0.916012,0.339038,1,0.88652,0.0,127.8171,52.4213,0.0003
36,0.885106,0.0,0.885106,0.885106,1.082199,1,0.850829,0.0,129.6855,50.0046,0.0003
37,0.917237,0.0,0.917237,0.917237,0.361449,1,0.895604,0.0,128.9211,51.6571,0.0003
38,0.915175,0.0,0.915175,0.915175,0.32578,1,0.887258,0.0,128.8858,54.3075,0.001
39,0.919628,0.0,0.919628,0.919628,0.34125,1,0.891993,0.0,138.6488,55.0345,0.0003
40,0.910422,0.0,0.910422,0.910422,0.733772,1,0.887942,0.0,132.3302,52.6626,0.0012
41,0.898228,0.0,0.898228,0.898228,0.787979,1,0.866296,0.0,132.553,51.4457,0.0009
42,0.921003,0.0,0.921003,0.921003,0.345684,1,0.893657,0.0,136.589,53.5781,0.0009
43,0.920286,0.0,0.920286,0.920286,0.314593,1,0.892801,0.0,127.3058,52.4464,0.0015
44,0.92172,0.0,0.92172,0.92172,0.365844,1,0.894003,0.0,130.4339,52.9084,0.0003
45,0.915802,0.0,0.915802,0.915802,0.560901,1,0.884566,0.0,129.6479,51.8352,0.001
46,0.917297,0.0,0.917297,0.917297,0.510086,1,0.891475,0.0,127.4387,51.3782,0.0011
47,0.920973,0.0,0.920973,0.920973,0.378961,1,0.894968,0.0,126.9971,51.2727,0.0003
48,0.898168,0.0,0.898168,0.898168,0.860282,1,0.863093,0.0,129.8362,52.2513,0.001
49,0.912724,0.0,0.912724,0.912724,0.634493,1,0.882171,0.0,130.9418,52.3078,0.0003
50,0.919867,0.0,0.919867,0.919867,0.328599,1,0.892605,0.0,125.6263,51.9202,0.0009
51,0.923753,0.0,0.923753,0.923753,0.32214,1,0.896374,0.0,126.9154,52.6567,0.0012
52,0.922229,0.0,0.922229,0.922229,0.320518,1,0.897512,0.0,125.6271,52.1046,0.0004
