round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.005265,0.001428,0.004244,0.006896,4.12943,3,0.013417,0.008565,167.7375,107.068,0.2608
2,0.319324,0.467937,0.024091,0.85885,2.878761,3,0.219869,0.329837,129.0005,104.3714,0.1892
3,0.020011,0.018323,0.008827,0.041157,4.21451,3,0.028724,0.006849,129.4264,103.4099,0.167
4,0.505021,0.147349,0.360728,0.655247,2.317372,3,0.454928,0.237255,125.6297,96.411,0.1543
5,0.051762,0.031695,0.01613,0.076815,3.659281,3,0.051223,0.020562,125.978,104.5551,0.164
6,0.812789,0.027437,0.781529,0.832884,1.017701,3,0.738659,0.044803,122.7321,100.7169,0.3556
7,0.837225,0.01133,0.825956,0.848615,0.577973,3,0.807756,0.008786,122.2125,96.2571,0.2033
8,0.839832,0.014131,0.825554,0.853812,0.842841,3,0.797458,0.02869,126.3733,107.9462,0.2067
9,0.85581,0.012651,0.842826,0.868099,0.473859,3,0.823707,0.009602,125.0098,102.8159,0.3266
10,0.854389,0.008215,0.846317,0.862739,0.470678,3,0.82266,0.004981,122.8542,98.3311,0.2378
11,0.849983,0.019725,0.830648,0.870076,0.633842,3,0.811365,0.013656,126.2722,102.0071,0.3517
12,0.861983,0.006288,0.856233,0.868697,0.6457,3,0.812964,0.009762,123.681,103.0479,0.1872
13,0.854919,0.014195,0.840922,0.869304,0.522218,3,0.823969,0.007867,123.1179,96.6773,0.1958
14,0.859599,0.025808,0.83172,0.882655,0.465465,3,0.789782,0.07226,124.1475,104.5798,0.2267
15,0.865029,0.00725,0.85716,0.871437,0.500801,3,0.816332,0.018957,124.872,101.1682,0.2349
16,0.870853,0.012527,0.856523,0.879726,0.555568,3,0.822184,0.028712,125.5023,95.6331,0.4224
17,0.851619,0.024592,0.834414,0.879786,0.47372,3,0.820234,0.020806,124.4758,98.4796,0.3254
18,0.860146,0.01114,0.847595,0.868862,0.484796,3,0.820645,0.013501,122.6025,103.559,0.3671
19,0.870539,0.006933,0.863915,0.877745,0.460422,3,0.819653,0.009994,121.7355,95.6359,0.2323
20,0.864823,0.018523,0.853244,0.886186,0.461116,3,0.818973,0.012442,123.6767,102.8908,0.3538
21,0.872758,0.011698,0.860089,0.883151,0.444947,3,0.817038,0.010439,122.9394,99.9822,0.2154
22,0.873919,0.011241,0.863081,0.885524,0.4356,3,0.828975,0.008302,121.6638,95.9887,0.2019
23,0.862138,0.019797,0.843672,0.883041,0.439218,3,0.829396,0.008474,120.4467,102.4112,0.134
24,0.852969,0.038151,0.808919,0.875483,0.454223,3,0.806761,0.033076,122.5067,100.4548,0.3128
25,0.866629,0.028498,0.841857,0.897774,0.453845,3,0.796625,0.081948,120.4451,94.7021,0.1584
26,0.877671,0.017268,0.865461,0.889882,0.417996,2,0.761865,0.076428,116.4016,100.8323,0.5352
27,0.868011,0.017666,0.855519,0.880503,0.433041,2,0.83289,0.006473,115.4691,94.501,0.1613
28,0.873735,0.017609,0.861283,0.886186,0.42215,2,0.818236,0.001016,119.3889,101.8116,0.082
29,0.891091,0.011619,0.882875,0.899307,0.392385,2,0.773653,0.081275,114.9994,96.0875,0.0541
30,0.894384,0.006289,0.889937,0.898831,0.399645,2,0.708509,0.009076,118.1023,98.4741,0.1692
31,0.89477,0.005743,0.890709,0.898831,0.41853,2,0.710954,0.005007,119.6069,95.2486,0.0579
32,0.894513,0.0085,0.888503,0.900524,0.444623,2,0.703893,0.001371,119.0101,94.4908,0.0554
33,0.896571,0.008133,0.89082,0.902322,0.396419,2,0.701918,0.003097,116.6439,93.267,0.0501
34,0.896886,0.008735,0.890709,0.903062,0.393493,2,0.704085,0.000122,120.169,87.8468,0.0418
35,0.877171,0.019926,0.863081,0.891261,0.65572,2,0.676633,0.035758,119.2839,94.8337,0.0351
36,0.856894,0.0,0.856894,0.856894,0.952744,1,0.629052,0.0,120.7602,102.8365,0.0004
37,0.900576,0.0,0.900576,0.900576,0.41741,1,0.686153,0.0,120.0562,103.9471,0.0004
38,0.904014,0.0,0.904014,0.904014,0.3823,1,0.689341,0.0,123.033,102.4438,0.0003
39,0.895076,0.0,0.895076,0.895076,0.492049,1,0.678145,0.0,121.4031,100.4582,0.0003
40,0.898514,0.0,0.898514,0.898514,0.462108,1,0.68083,0.0,117.9786,105.5494,0.0004
41,0.900682,0.0,0.900682,0.900682,0.421288,1,0.67579,0.0,121.0263,102.862,0.0004
42,0.894812,0.0,0.894812,0.894812,0.480432,1,0.670294,0.0,121.5095,100.2777,0.0004
43,0.897562,0.0,0.897562,0.897562,0.467977,1,0.677446,0.0,118.8716,103.0376,0.0003
