worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,global_test_accuracy,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
0,1,1783365287.167,1.76655,4.127269,0.033101,0.031813,258.631,162.1995,95.7316,0.6708,0.095677,0,7
0,2,1783365485.164,1.606939,4.046576,0.032514,0.049446,197.996,112.8064,84.4653,0.7047,0.100537,5,7
0,3,1783365690.674,1.42272,4.165123,0.035376,0.034144,205.509,110.9497,94.1636,0.3954,0.056424,6,7
0,4,1783365882.498,1.361977,2.969746,0.190092,0.179955,191.824,109.2339,82.1607,0.4093,0.058414,6,7
0,5,1783366076.601,1.297927,0.902189,0.812624,0.789795,194.103,111.3051,82.1751,0.5964,0.08514,5,7
0,6,1783366286.496,1.272614,0.857921,0.77255,0.746284,209.894,111.6214,97.8692,0.3858,0.055056,7,7
0,7,1783366490.017,1.245609,0.647295,0.767193,0.745539,203.522,105.8295,97.0801,0.5947,0.084896,9,7
0,8,1783366682.754,1.213358,0.559727,0.813725,0.78912,192.736,108.6402,82.8485,1.2296,0.175533,6,7
0,9,1783366888.769,1.194481,0.524004,0.848661,0.824701,206.014,108.6604,96.9265,0.4088,0.058328,6,7
0,10,1783367101.815,1.192763,0.580365,0.806459,0.78426,213.046,111.077,101.063,0.9054,0.12929,8,7
0,11,1783367307.415,1.169997,0.582467,0.817761,0.795723,205.6,108.6418,96.5843,0.3735,0.053305,7,7
0,12,1783367517.107,1.161455,0.916219,0.81189,0.792794,209.691,110.39,98.9283,0.3724,0.053143,7,7
0,13,1783367721.622,1.156254,0.54355,0.810422,0.787982,204.514,108.28,95.8427,0.3912,0.055831,8,7
0,14,1783367911.862,1.146919,0.466108,0.861945,0.840026,190.24,107.0477,82.7719,0.4006,0.057175,8,7
0,15,1783368106.493,1.140274,0.441618,0.869431,0.850484,194.632,111.6975,82.5091,0.4062,0.057969,5,7
0,16,1783368298.549,1.1372,0.609853,0.810202,0.788194,192.055,109.999,81.6126,0.4434,0.063282,7,7
0,17,1783368505.122,1.128604,0.526784,0.824954,0.804123,206.573,109.9484,96.1982,0.4258,0.060778,7,7
0,18,1783368695.97,1.123384,0.501134,0.839193,0.818624,190.848,108.8844,81.5819,0.381,0.054373,7,7
0,19,1783368907.089,1.118518,0.508535,0.836183,0.816803,211.119,109.4257,101.2788,0.4141,0.059098,7,7
0,20,1783369119.936,1.116284,0.71207,0.785321,0.762874,212.846,111.3727,101.1287,0.3444,0.047282,7,6
0,21,1783369328.842,1.113784,0.512557,0.830972,0.808991,208.906,108.2883,100.3426,0.2744,0.045065,7,5
0,22,1783369532.038,1.11246,0.395926,0.901284,0.880122,203.196,105.3458,97.6044,0.2234,0.043923,5,4
0,23,1783369722.435,1.098032,0.428952,0.884991,0.863132,190.397,107.2746,82.8771,0.2443,0.060986,5,4
0,24,1783369914.111,1.102168,0.425324,0.895413,0.873566,191.676,108.8351,82.6429,0.1977,0.049323,3,4
0,25,1783370122.631,1.093575,0.357385,0.914716,0.89222,208.52,106.3775,101.724,0.4007,0.10007,5,4
0,26,1783370324.341,1.090463,0.365219,0.910679,0.887345,201.709,106.4256,95.1201,0.1633,0.039889,4,3
0,27,1783370515.848,1.091229,0.327926,0.919193,0.895965,191.507,109.1781,82.1492,0.1609,0.053521,3,3
0,28,1783370724.767,1.085273,0.329529,0.918899,0.896287,208.918,107.2953,101.4532,0.1689,0.056178,3,3
0,29,1783370926.356,1.089357,0.328811,0.921248,0.896413,201.589,106.3255,95.1034,0.1595,0.053052,3,3
0,30,1783371117.59,1.077921,0.34573,0.920954,0.900158,191.234,108.5066,82.5651,0.1618,0.05379,3,3
0,31,1783371328.4,1.080362,0.355389,0.920514,0.898643,210.81,109.8866,100.7639,0.1593,0.052975,3,3
0,32,1783371539.171,1.07817,0.345617,0.921028,0.900016,210.771,110.058,100.5649,0.1475,0.049022,3,3
0,33,1783371751.636,1.069442,0.411848,0.913908,0.890721,212.465,115.2198,97.1702,0.0741,0.02345,3,1
0,34,1783371940.987,1.068062,0.325471,0.923083,0.900362,189.351,106.7934,82.4888,0.0497,0.049355,2,1
0,35,1783372130.862,1.064894,0.321742,0.922128,0.898964,189.874,107.8844,81.956,0.015,0.011448,1,0
0,36,1783372338.277,1.068655,0.310342,0.920367,0.896876,207.415,106.8599,100.5361,0.0004,0.0,1,0
0,37,1783372552.347,1.076501,1.124953,0.809835,0.786663,214.07,113.1852,100.8837,0.0004,0.0,0,0
0,38,1783372761.186,1.073009,0.356008,0.919633,0.9007,208.839,108.0559,100.7824,0.0003,0.0,0,0
0,39,1783372969.201,1.064155,0.373805,0.921982,0.902882,208.015,108.5248,99.4894,0.0003,0.0,0,0
0,40,1783373178.017,1.075544,0.354589,0.924183,0.898698,208.815,108.3893,100.425,0.0003,0.0,0,0
0,41,1783373389.174,1.0683,1.139276,0.821872,0.798431,211.157,111.2725,99.8839,0.0003,0.0,0,0
0,42,1783373599.156,1.064387,0.440388,0.91545,0.89332,209.982,110.2457,99.7353,0.0003,0.0,0,0
