round,mean_accuracy,std_accuracy,min_accuracy,max_accuracy,mean_val_loss,workers_reporting,mean_global_test_accuracy,std_global_test_accuracy,mean_val_macro_precision,std_val_macro_precision,mean_val_macro_recall,std_val_macro_recall,mean_val_macro_f1,std_val_macro_f1,mean_global_test_macro_precision,std_global_test_macro_precision,mean_global_test_macro_recall,std_global_test_macro_recall,mean_global_test_macro_f1,std_global_test_macro_f1,mean_phase_a_s,mean_phase_b_s,mean_phase_c_s
1,0.027548,0.039707,0.002839,0.073351,4.126805,3,0.012394,0.016799,0.001843,0.002149,0.016911,0.001232,0.001046,0.001147,0.000224,0.000266,0.016077,0.000119,0.000435,0.000514,185.5164,111.0638,0.1789
2,0.570803,0.461048,0.038617,0.849119,1.753761,3,0.41717,0.332811,0.482901,0.417662,0.415156,0.345584,0.422319,0.364728,0.410902,0.356389,0.354805,0.294944,0.327371,0.28458,125.9434,107.1551,0.1152
3,0.32714,0.432566,0.074423,0.826613,3.031315,3,0.286109,0.436429,0.236567,0.407584,0.220641,0.354225,0.212626,0.364266,0.24,0.414738,0.213279,0.341474,0.205088,0.353378,125.3685,99.7643,0.1033
4,0.047587,0.034394,0.008832,0.074479,3.965796,3,0.05356,0.016983,0.003174,0.004243,0.021938,0.009974,0.004603,0.005705,0.004428,0.003705,0.022948,0.006397,0.006318,0.004945,127.8958,101.4228,0.1258
5,0.701955,0.246169,0.41779,0.850106,1.503272,3,0.602597,0.223969,0.673243,0.126147,0.533224,0.232044,0.542028,0.227462,0.673305,0.06346,0.505398,0.22777,0.500897,0.193556,128.39,106.1863,0.2601
6,0.500665,0.4092,0.06499,0.876884,2.243856,3,0.40218,0.309001,0.485464,0.403073,0.344401,0.333123,0.35777,0.352317,0.454188,0.363934,0.312706,0.283497,0.301066,0.273476,124.7697,98.2002,0.1172
7,0.843221,0.023946,0.819261,0.867152,0.525462,3,0.745732,0.074831,0.764642,0.026798,0.696936,0.016371,0.695938,0.028925,0.732901,0.045567,0.677149,0.039482,0.658672,0.060271,121.0373,99.8771,0.0921
8,0.877815,0.017834,0.865442,0.898257,0.586955,3,0.78768,0.076802,0.783721,0.046113,0.715345,0.02352,0.716698,0.035028,0.752509,0.073898,0.693575,0.043095,0.678338,0.075878,122.964,95.3289,0.0945
9,0.864555,0.026469,0.837523,0.890423,0.818524,3,0.763842,0.072634,0.774571,0.014847,0.706877,0.026382,0.707591,0.032923,0.739792,0.04262,0.680428,0.032392,0.661753,0.054789,125.3018,97.1127,0.1074
10,0.864501,0.024062,0.837009,0.881729,0.826574,3,0.784778,0.065415,0.764697,0.06349,0.710762,0.05145,0.705063,0.074692,0.750647,0.047473,0.697237,0.042458,0.68002,0.061431,125.3916,102.3655,0.117
