worker_id,round,timestamp,train_loss_avg,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,global_test_accuracy,global_test_macro_precision,global_test_macro_recall,global_test_macro_f1,round_duration_s,phase_a_s,phase_b_s,phase_c_s,grpc_mean_latency_s,neighbors_aggregated,peers_contacted
2,1,1783673440.632,1.663309,4.131406,0.003755,0.000136,0.013065,0.00026,0.003933,0.000241,0.01378,0.000433,274.252,163.0312,110.7314,0.4691,0.066569,0,7
2,2,1783673660.318,1.525278,4.017019,0.048628,0.000784,0.016129,0.001496,0.034136,0.000551,0.016129,0.001065,219.685,117.8443,101.3689,0.4425,0.063158,6,7
2,3,1783673869.999,1.298604,4.054693,0.034377,0.001118,0.022087,0.002094,0.039342,0.001455,0.022748,0.002465,209.679,117.2916,91.9784,0.4089,0.058358,5,7
2,4,1783674079.903,1.258259,2.786294,0.274242,0.537716,0.174483,0.211819,0.234692,0.571731,0.159083,0.195986,209.904,117.2431,92.2111,0.4303,0.061416,6,7
2,5,1783674283.602,1.211373,0.839079,0.829658,0.777555,0.66482,0.676252,0.7554,0.762273,0.623346,0.635256,203.699,115.1376,88.1258,0.4146,0.059166,6,7
2,6,1783674489.56,1.183565,0.452808,0.866635,0.81278,0.721515,0.734137,0.806227,0.765562,0.69495,0.701843,205.957,115.2843,90.2224,0.4308,0.061316,6,7
2,7,1783674692.445,1.15738,0.467489,0.854405,0.817724,0.727928,0.73378,0.789418,0.767217,0.700464,0.699633,202.885,113.134,89.3465,0.4038,0.05763,7,7
2,8,1783674909.012,1.139283,0.423149,0.860087,0.817795,0.742529,0.749585,0.797105,0.765558,0.716967,0.714455,216.567,112.0971,104.0072,0.4414,0.062997,7,7
2,9,1783675122.237,1.121609,1.223957,0.822821,0.790149,0.701673,0.68767,0.760456,0.734659,0.681274,0.666289,213.225,119.1866,93.6519,0.3858,0.055061,9,7
2,10,1783675336.336,1.106989,0.398977,0.87376,0.825076,0.768213,0.774258,0.811056,0.772382,0.731356,0.727002,214.098,111.4972,102.0691,0.5086,0.072597,6,7
2,11,1783675553.946,1.107401,0.416212,0.858739,0.804778,0.761861,0.760485,0.79398,0.755262,0.736974,0.718086,217.609,109.2995,107.8798,0.4294,0.061292,8,7
2,12,1783675769.411,1.090091,0.42395,0.850843,0.80643,0.762739,0.757417,0.783302,0.754266,0.730707,0.709864,215.465,111.5738,103.5112,0.3795,0.054128,8,7
2,13,1783675969.224,1.089331,0.43099,0.845354,0.807642,0.765542,0.759653,0.774305,0.755495,0.730357,0.708532,199.812,113.0184,86.4207,0.3728,0.053197,8,7
2,14,1783676168.606,1.078516,0.364422,0.896389,0.833824,0.790873,0.798192,0.840882,0.79107,0.760569,0.759238,199.382,108.9739,89.9605,0.4286,0.061178,6,7
2,15,1783676377.803,1.072699,0.41194,0.878671,0.826088,0.784498,0.787436,0.820187,0.778289,0.754776,0.744463,209.197,108.6152,100.1841,0.3968,0.056627,6,7
2,16,1783676585.407,1.069772,0.378256,0.897737,0.83336,0.793068,0.799991,0.845844,0.793131,0.769401,0.765572,207.604,111.9483,95.1989,0.4561,0.064516,8,7
2,17,1783676789.48,1.065214,1.349292,0.801926,0.7407,0.696589,0.670205,0.727567,0.735027,0.67588,0.644603,204.073,113.0894,90.6164,0.3664,0.052281,7,7
2,18,1783676985.531,1.056361,0.359707,0.893789,0.823007,0.79526,0.796475,0.841016,0.800604,0.76962,0.759327,196.051,109.7768,85.845,0.4106,0.058607,6,7
